arr_icao,airline,flight_no,std,type_raw,cargo
LEMG,TB,TB1011,06:00,Boeing 737-800,0
LGIR,TB,TB2251,06:15,Embraer 190,0
LEMG,SN,SN3733,06:15,Airbus A320,0
LSGG,SN,SN2711,06:20,Airbus A319,0
LIMC,SN,SN3153,06:20,Airbus A220-300,0
EHAM,KL,KL1700,06:20,Embraer 175,0
EDDF,SN,SN2607,06:20,Airbus A319,0
LFPG,SN,SN3631,06:25,Airbus A320,0
EFHK,AY,AY1550,06:30,Embraer 190,0
LEMG,HV,HV9031,06:40,Boeing 737-800,0
EHAM,KL,KL9956,06:49,Embraer 190,0
LSZH,SN,SN2729,06:55,Airbus A320,0
LFPG,SN,SN3629,07:00,Airbus A320,0
LEMD,IB,IB604,07:05,Airbus A320,0
LIRF,SN,SN3175,07:15,Airbus A320 NEO,0
EPWA,LO,LO232,07:50,Embraer 195,0
LFPG,SN,SN3633,08:00,Airbus A320 NEO,0
EHAM,KL,KL1702,08:05,Embraer 175,0
LEBL,FR,FR2917,08:45,Boeing 737-800,0
EDDF,SN,SN2609,08:35,Airbus A319,0
OTHH,QR,QR196,09:00,Boeing 787-8,0
LIRF,U2,U22981,09:20,Airbus A319,0
LEMD,SN,SN3721,09:30,Airbus A320,0
LEBL,SN,SN3697,09:35,Airbus A320,0
EDDM,SN,SN2643,09:35,Airbus A320,0
EKCH,SN,SN2257,09:30,Airbus A220-300,0
LSZH,LX,LX787,09:40,Airbus A320 NEO,0
LSGG,SN,SN2713,09:20,Airbus A319,0
EGLL,SN,SN2093,09:55,Airbus A320 NEO,0
EKCH,SK,SK594,10:20,Airbus A320 NEO,0
EPWA,LO,LO236,10:15,Embraer 195,0
EHAM,KL,KL1704,10:25,Boeing 737-700,0
LPPR,SN,SN3811,10:30,Airbus A320,0
LEMD,UX,UX1172,10:45,Boeing 737,0
EGLL,BA,BA385,10:50,Airbus A320,0
LEMG,VY,VY2151,11:00,Airbus A320,0
LEBL,VY,VY8981,11:00,Airbus A320,0
EDDF,SN,SN2611,10:30,Airbus A319,0
ENGM,SK,SK4744,11:20,Airbus A320,0
LGAV,A3,A3621,11:15,Airbus A320,0
EFHK,AY,AY1542,11:20,Airbus A319,0
LFLL,SN,SN3587,11:00,Airbus A220-300,0
LIRF,AZ,AZ159,11:35,Airbus A320 NEO,0
LEMG,SN,SN3735,12:00,Airbus A320,0
LEMD,IB,IB598,12:05,Airbus A320,0
LGKR,SN,SN3259,12:00,Airbus A320 NEO,0
EGPH,SN,SN2063,11:10,Airbus A320,0
LEBL,SN,SN3703,12:25,Airbus A320 NEO,0
EDDM,SN,SN2645,12:45,Airbus A319,0
LGAV,SN,SN3245,13:20,Airbus A320,0
LPPR,FR,FR2928,13:30,Boeing 737-800,0
LGAV,GQ,GQ801,14:05,Airbus A320 NEO,0
LEMD,SN,SN3727,14:20,Airbus A320 NEO,0
EDDF,SN,SN2613,14:25,Airbus A220-300,0
ESSA,SN,SN2293,14:30,Airbus A320,0
LIRF,SN,SN3181,15:00,Airbus A320 NEO,0
LSZH,LX,LX781,15:00,Embraer 190,0
LSGG,SN,SN2721,15:00,Airbus A319,0
EPWA,SN,SN2555,15:20,Airbus A319,0
LEBL,VY,VY8987,15:15,Airbus A320,0
EKCH,SK,SK1594,15:15,Airbus A320,0
EHAM,KL,KL1706,15:10,Embraer 175,0
ENGM,SN,SN2283,15:20,Airbus A320,0
EKCH,SN,SN2259,15:45,Airbus A320,0
EGLL,BA,BA387,15:50,Airbus A320,0
LPPR,SN,SN3809,15:55,Airbus A320,0
EDDM,SN,SN2649,16:25,Airbus A320,0
LEMG,SN,SN3737,16:25,Airbus A320,0
LEMD,FR,FR2947,16:55,Boeing 737-800,0
EGLL,SN,SN2095,16:55,Airbus A319,0
EPWA,LO,LO238,16:55,Embraer 175,0
LEZL,HV,HV9077,17:05,Boeing 737-800,0
