arr_icao,airline,flight_no,std,type_raw,cargo
EDDS,3V,3V5TR,06:05,Boeing 737-800,0
LEMD,IB,IB1332,06:30,Regional-Jet,0
EGLL,BA,BA911,06:40,Airbus A320 NEO,0
LSGG,LH,LH1212,06:40,Airbus A320,0
EDDM,4Y,4Y1000,06:50,Airbus A320,0
EHAM,KL,KL1814,07:00,Embraer 190,0
ENGM,LH,LH858,07:00,Airbus A321 (Sharklets),0
EGLL,VL,VL924,07:00,Airbus A320 NEO,0
LFPG,AF,AF1019,07:05,Embraer 190,0
EPWA,LH,LH1346,07:10,Airbus A319,0
EDDM,LH,LH94,07:15,Airbus A321,0
LIRF,LH,LH230,07:15,Airbus A321,0
ESSA,VL,VL800,07:20,Airbus A320 NEO,0
LEBL,DE,DE4323,07:20,Airbus A320 NEO,0
LGKR,4Y,4Y1210,07:25,Airbus A320,0
LEBL,LH,LH1124,07:30,Airbus A321 NEO,0
LSZH,LH,LH1184,07:45,Embraer 190,0
EHAM,LH,LH986,07:50,Airbus A320,0
EKCH,LH,LH824,08:00,Airbus A320 (Sharklets),0
LIRF,DE,DE4439,08:00,Airbus A321,0
EGLL,LH,LH900,08:00,Airbus A320 NEO,0
LSZH,DE,DE4313,08:00,Airbus A321,0
LSGG,LX,LX1081,08:10,Airbus A220-300,0
EDDM,LH,LH96,08:15,Boeing 787-9,0
EBBR,SN,SN2608,08:20,Airbus A319,0
EGKK,DE,DE4123,08:20,Embraer 190,0
LFPG,LH,LH1028,08:25,Airbus A320,0
LEZL,LH,LH1140,08:35,Airbus A321 NEO,0
LFLL,EN,EN8910,08:35,Embraer 190,0
EDDP,LH,LH152,08:40,Embraer 195,0
LFPG,DE,DE4265,08:55,Airbus A321,0
EDDM,LH,LH98,09:15,Airbus A321,0
LIMC,LH,LH248,09:15,Airbus A320 (Sharklets),0
LSZH,LX,LX1069,08:50,BCS1,0
EGBB,LH,LH954,09:05,Airbus A320 (Sharklets),0
EHAM,LH,LH988,09:25,Airbus A321 (Sharklets),0
LEMD,LH,LH1112,09:35,Airbus A321,0
EFHK,VL,VL848,09:35,Airbus A320 NEO,0
LGAV,LH,LH1280,09:35,Airbus A320 NEO,0
OTHH,QR,QR70,09:35,Boeing 787-9,0
LSZH,LH,LH1186,09:45,Airbus A320 (Sharklets),0
LFPG,LH,LH1030,09:45,Airbus A320,0
LIMC,DE,DE4355,09:50,Airbus A320,0
LPPR,LH,LH1176,09:30,Airbus A321 NEO,0
LEMG,LH,LH1148,09:35,Airbus A321 (Sharklets),0
EGLL,VL,VL904,10:00,Airbus A320 NEO,0
LEBL,LH,LH1126,09:50,Airbus A321,0
EKCH,LH,LH826,10:10,Airbus A320,0
ENGM,LH,LH860,10:10,Airbus A320,0
EHAM,KL,KL1816,10:15,Embraer 175,0
EDDM,LH,LH102,10:15,Airbus A320,0
KSFO,LH,LH454,10:25,Boeing 747-8,0
EPWA,LO,LO382,10:35,Boeing 737-800,0
EBBR,SN,SN2610,10:40,Airbus A319,0
LIRF,LH,LH232,10:40,Airbus A320,0
ESSA,LH,LH802,10:25,Airbus A320 NEO,0
LEMD,UX,UX1502,10:55,Boeing 737 MAX 8,0
LEMG,LH,LH1118,11:05,Airbus A320 (Sharklets),0
LGAV,A3,A3831,11:10,Airbus A320 NEO,0
EGPH,LH,LH960,11:20,Airbus A320 (Sharklets),0
LEBL,LH,LH1128,11:00,Airbus A321,0
LSZH,LH,LH1188,11:25,Airbus A320 (Sharklets),0
EFHK,AY,AY1412,11:30,Airbus A319,0
LPPR,4Y,4Y2164,11:30,Airbus A320,0
LIRF,AZ,AZ403,11:40,Airbus A220-100,0
KSFO,DE,DE2096,11:40,Airbus A330,0
EHAM,KL,KL1818,11:45,Embraer 175,0
EPWA,LH,LH1348,11:55,Airbus A319,0
