arr_icao,airline,flight_no,std,type_raw,cargo
LEBL,EW,EW520,06:15,Airbus A320,0
LSZH,EW,EW762,06:20,Airbus A319,0
EBBR,QY,QY204P,06:32,Boeing 737,0
EGPH,EW,EW362,08:15,Airbus A319,0
EGSS,FR,FR2353,08:15,Boeing 737-800,0
EDDM,VL,VL1973,08:30,Airbus A319,0
ENGM,UNI,UNI135,09:22,,0
EGKK,EW,EW472,10:55,Boeing 737-800,0
LEMG,EW,EW534,10:55,Boeing 737-800,0
LEBL,FR,FR7809,11:45,Boeing 737-800,0
LGIR,XR,XR413,12:25,Boeing 737-800,0
LGIR,MI,MI5375,12:55,,0
LGIR,FHM,FHM5375,14:08,Airbus A320,0
EGSS,FR,FR2815,14:15,Boeing 737-800,0
LPPR,FR,FR9326,15:20,Boeing 737-800,0
EGSS,FR,FR2813,16:25,Boeing 737-800,0
LFPG,FX,FX6092,17:29,Boeing 777-200,1
LEMG,FR,FR2308,17:40,Boeing 737-800,0
LEBL,EW,EW522,17:40,Airbus A320,0
