arr_icao,airline,flight_no,std,type_raw,cargo
LEBL,VL,VL1808,06:15,Airbus A320 NEO,0
LGKR,4Y,4Y1282,06:15,Airbus A320,0
LGAV,DJ,DJ6118,06:18,Boeing 767-300,0
EKCH,LH,LH2438,06:20,Airbus A321,0
LFPG,AF,AF1123,06:30,Airbus A220-300,0
EBBR,SN,SN2654,06:35,Airbus A319,0
EDDK,VL,VL1972,06:35,Airbus A319,0
LFPG,VL,VL2226,06:40,Airbus A319,0
LSGG,LH,LH2382,06:50,Airbus A319,0
EHAM,KL,KL1848,07:00,Boeing 737,0
EDDF,LH,LH125,07:00,Airbus A321,0
EGLL,LH,LH2470,07:05,Airbus A320 NEO,0
EGLL,BA,BA941,07:25,Airbus A320 NEO,0
LFLL,LH,LH2246,07:30,Airbus A320,0
LSZH,LX,LX1109,07:40,Embraer 190,0
EDDF,LH,LH127,08:00,Airbus A320 (Sharklets),0
EDDS,LH,LH2144,08:05,Airbus A319,0
LEMD,LH,LH1800,08:20,Airbus A321 (Sharklets),0
LPPR,LH,LH1782,08:20,Airbus A320 (Sharklets),0
LIRF,LH,LH1866,08:25,Airbus A321,0
LGAV,LH,LH1750,08:25,Airbus A321 (Sharklets),0
LEMG,LH,LH1832,08:25,Airbus A321,0
EDDF,4Y,4Y1001,08:30,Airbus A320,0
EFHK,VL,VL2460,08:35,Airbus A320 NEO,0
ENGM,LH,LH2452,08:40,Airbus A321,0
EGLL,LH,LH2472,08:50,Airbus A320 NEO,0
ESSA,LH,LH2414,08:50,Airbus A321,0
EHAM,LH,LH2302,08:55,Airbus A319,0
LEBL,VL,VL1810,08:55,Airbus A319,0
EDDF,LH,LH95,09:00,Airbus A321,0
LEZL,VL,VL1822,09:00,Airbus A320 NEO,0
LSZH,LX,LX1101,09:00,Embraer 195,0
EHAM,KL,KL1850,09:25,Embraer 190,0
LFPG,LH,LH2228,09:40,Airbus A320,0
LIRF,U2,U22997,09:40,Airbus A319,0
EPWA,LO,LO352,10:00,Boeing 737 MAX 8,0
OTHH,QR,QR60,10:00,Boeing 787-9,0
EDDF,LH,LH97,10:00,Boeing 787-9,0
LFPG,AF,AF1423,10:10,Airbus A220-300,0
EKCH,SK,SK662,10:20,Canadair CRJ 900,0
EKCH,LH,LH2440,10:20,Airbus A320,0
LEBL,VY,VY1813,10:25,Airbus A321,0
LIRF,VL,VL1874,10:20,Airbus A320 NEO,0
LEMG,DY,DY5141,10:40,Boeing 737,0
LEMD,IB,IB1316,10:40,Regional-Jet,0
LEMD,UX,UX1516,10:45,Boeing 737 MAX 8,0
EGLL,BA,BA927,10:55,Airbus A320,0
LIRF,AZ,AZ437,11:00,Airbus A220-100,0
EDDF,LH,LH99,11:00,Airbus A321,0
EPWA,LH,LH1612,11:00,Airbus A319,0
LFLL,LH,LH2248,11:00,BCS3,0
LIMC,EN,EN8274,11:05,Embraer 195,0
LGAV,A3,A3803,11:15,Airbus A320,0
LSZH,LX,LX1103,11:15,Embraer 190,0
LGAV,LH,LH1752,11:20,Airbus A320 (Sharklets),0
LEMD,VL,VL1802,11:25,Airbus A320 NEO,0
EFHK,AY,AY1402,11:30,Airbus A350,0
EDDS,LH,LH2146,11:40,Airbus A319,0
EGLL,LH,LH2474,11:45,Airbus A321 NEO,0
KSFO,UA,UA195,11:45,Boeing 777-200,0
EBBR,SN,SN2644,11:50,Airbus A320 (Sharklets),0
EHAM,KL,KL1852,11:50,Boeing 737,0
LFPG,VL,VL2230,11:55,Airbus A319,0
EDDF,LH,LH103,12:00,Airbus A320,0
ENGM,DY,DY1157,12:05,Boeing 737-800,0
LEMD,IB,IB1310,12:10,Regional-Jet,0
ESSA,LH,LH2416,12:10,Airbus A320 (Sharklets),0
LGAV,GQ,GQ871,13:00,Airbus A320 NEO,0
LEBL,LH,LH1814,12:45,Airbus A321,0
EHAM,LH,LH2304,13:25,Airbus A320 NEO,0
LIRF,LH,LH1868,13:30,Airbus A321 (Sharklets),0
EDDF,LH,LH107,14:00,Boeing 787-9,0
EHAM,KL,KL1854,14:00,Embraer 190,0
LPPR,X3,X32862,14:20,Boeing 737-800,0
EPWA,LH,LH1614,14:45,Airbus A320 (Sharklets),0
EBBR,SN,SN2646,14:55,Airbus A319,0
LEMD,LH,LH1804,14:55,Airbus A320 NEO,0
EDDF,LH,LH109,15:00,Airbus A320,0
LEMG,LH,LH1834,14:45,Airbus A321,0
EGPH,U2,U23264,14:20,Airbus A320 (Sharklets),0
LGAV,LH,LH1754,15:05,Airbus A321,0
LSZH,LX,LX1105,15:10,Embraer 190,0
LGIR,4Y,4Y1260,14:15,Airbus A320,0
ESSA,LH,LH2418,15:15,Airbus A220-300,0
EGLL,LH,LH2476,14:35,Airbus A321 NEO,0
EHAM,LH,LH2306,14:45,Airbus A319,0
LIMC,LH,LH1856,15:30,Airbus A319,0
LFPG,AF,AF1623,15:30,Airbus A220-300,0
EKCH,VL,VL2448,14:50,Airbus A320 NEO,0
EFHK,LH,LH2464,15:25,Airbus A321,0
ENGM,LH,LH2454,15:40,Airbus A321,0
LEBL,LH,LH1816,15:40,Airbus A320 (Sharklets),0
EGPH,LH,LH2524,15:05,Airbus A321,0
EKCH,DY,DY3309,15:45,Boeing 737-800,0
LFLL,LH,LH2250,15:45,Airbus A321,0
ESSA,DY,DY4502,15:50,Boeing 737 MAX 8,0
LFBD,LH,LH2258,15:55,Airbus A321 (Sharklets),0
LFPG,LH,LH2232,15:40,Airbus A320 (Sharklets),0
EGBB,LH,LH2510,16:10,Airbus A321,0
EDDK,LH,LH1982,16:10,Airbus A319,0
EGLL,LH,LH2478,16:00,Airbus A321 NEO,0
EDDF,DE,DE4426,16:20,Embraer 190,0
OTHH,QR,QR58,16:25,Boeing 787-9,0
KSFO,LH,LH458,16:30,Airbus A350,0
EGLL,BA,BA935,16:40,Airbus A319,0
LIRF,VL,VL1870,16:40,Airbus A319,0
EDDF,LH,LH113,17:00,Airbus A320,0
