arr_icao,airline,flight_no,std,type_raw,cargo
EHAM,KL,KL1826,06:00,Embraer 190,0
EDDM,LH,LH2153,06:10,Airbus A319,0
LPPR,EW,EW2712,06:20,Airbus A320,0
LEBL,EW,EW2520,06:30,Airbus A319,0
LGKR,EW,EW2618,06:35,Airbus A320,0
EGLL,EW,EW2460,07:45,Airbus A319,0
EDDP,QY,QY228P,07:53,Boeing 757,0
EDDM,LH,LH2145,09:30,Airbus A319,0
EHAM,KL,KL1828,09:45,Embraer 190,0
LEBL,VY,VY1869,09:55,Airbus A320,0
ESSA,EW,EW4607,10:00,Airbus A319,0
EKCH,SK,SK658,10:10,Bombardier CRJ900,0
LSZH,LX,LX1165,10:40,Embraer 195,0
EPWA,LO,LO372,10:50,Embraer 195,0
ENGM,SK,SK4856,11:10,Airbus A320 NEO,0
LEMG,EW,EW2536,12:35,Airbus A320,0
EDDM,LH,LH2147,13:05,Airbus A319,0
EGLL,EW,EW2462,13:10,Airbus A319,0
LGIR,X3,X34714,13:20,Boeing 737-800,0
LSZH,LX,LX1169,15:20,Airbus A220-300,0
LGIR,EW,EW2670,16:05,Airbus A320-200 (Sharklets),0
LEBL,EW,EW2522,16:45,Airbus A320,0
EGKK,EW,EW2468,17:05,Airbus A319,0
LEBL,VY,VY1867,17:40,Airbus A320,0
