arr_icao,airline,flight_no,std,type_raw,cargo
EDDM,LH,LH2467,06:00,Airbus A220-300,0
EDDM,VL,VL2467,06:00,Airbus A220-300,0
EKCH,SK,SK1705,06:10,Airbus A320 NEO,0
LEBL,DY,DY2900,06:15,Boeing 737,0
EKCH,AY,AY951,06:20,Boeing 737-800,0
EDDF,VL,VL853,06:35,Airbus A320 NEO,0
LEMG,DY,DY2882,06:35,Boeing 737,0
EGPH,AY,AY1371,06:50,Airbus A321,0
ESSA,AY,AY801,06:45,Airbus A320,0
EHAM,KL,KL1248,07:00,Airbus A320,0
ESSA,DY,DY2602,07:05,Boeing 737,0
ESSA,AY,AY803,07:15,Embraer 190,0
LIRF,AY,AY1761,07:20,Airbus A321,0
ENGM,AY,AY911,07:25,Airbus A320,0
EPWA,AY,AY1141,07:30,Airbus A319,0
EKCH,AY,AY953,07:25,Airbus A321,0
LIMC,AY,AY1751,07:30,Airbus A321,0
LFPG,AY,AY1571,07:35,Airbus A321 (Sharklets),0
EBBR,AY,AY1541,07:40,Airbus A320,0
EDDF,AY,AY1411,07:40,Airbus A319,0
ESSA,AY,AY823,07:50,Embraer 190,0
EDDM,AY,AY1401,08:00,Airbus A350,0
EGKK,DY,DY2766,08:05,Boeing 737,0
EGLL,AY,AY1331,08:00,Airbus A350,0
LSZH,AY,AY1511,07:55,Airbus A321,0
ESSA,AY,AY805,08:05,Airbus A321 (Sharklets),0
EHAM,AY,AY1301,08:10,Airbus A321,0
ESSA,DY,DY2604,08:30,Boeing 737,0
LGIR,DK,DK1954,08:45,Airbus A321,0
ESSA,AY,AY807,10:10,Airbus A320,0
OTHH,QR,QR304,09:50,Boeing 787-8,0
EKCH,AY,AY955,11:00,Airbus A320,0
EKCH,SK,SK1707,11:15,Airbus A320 NEO,0
EPWA,AY,AY1143,11:35,Embraer 190,0
ENGM,AY,AY913,11:40,Airbus A320,0
LFPG,AY,AY1575,12:15,Embraer 190,0
ESSA,SK,SK705,11:05,ATR 72,0
EKCH,AY,AY957,12:30,Airbus A320,0
ESSA,AY,AY809,12:30,Embraer 190,0
EDDM,VL,VL2461,12:50,Airbus A320 NEO,0
LEMG,AY,AY1671,13:05,Airbus A321,0
ESSA,AY,AY811,13:15,Embraer 190,0
ESSA,SK,SK709,13:25,ATR 72,0
EDDF,VL,VL849,13:50,Airbus A320 NEO,0
EHAM,KL,KL1252,13:55,Airbus A321 NEO,0
EGLL,AY,AY1335,14:05,Airbus A321,0
LIRF,AY,AY1763,15:35,Airbus A321,0
ENGM,DY,DY1191,15:50,Boeing 737-800,0
EKCH,AY,AY959,15:35,Embraer 190,0
EGLL,AY,AY1337,16:00,Airbus A350-900,0
EKCH,SK,SK1713,16:00,Airbus A320 NEO,0
ESSA,AY,AY813,15:55,Airbus A321,0
ENGM,AY,AY915,16:10,Airbus A319,0
LIMC,AY,AY1755,16:10,Airbus A320,0
LFPG,AY,AY1577,16:10,Airbus A320,0
EGSS,FR,FR2345,15:50,Boeing 737-800,0
ESSA,SK,SK711,16:25,Canadair CRJ 900,0
EDDM,AY,AY1405,16:15,Airbus A321 (Sharklets),0
LSZH,AY,AY1513,16:30,Airbus A321 (Sharklets),0
EHAM,AY,AY1305,16:40,Airbus A350,0
LEMD,AY,AY1661,16:40,Airbus A321,0
LSGG,AY,AY1533,16:05,Airbus A320,0
EDDF,AY,AY1415,16:55,Airbus A321,0
ESSA,AY,AY815,16:55,Airbus A320,0
EBBR,AY,AY1545,16:45,Airbus A320,0
LFPG,AF,AF1071,17:40,Airbus A220-300,0
EKCH,AY,AY961,18:00,Airbus A320,0
