arr_icao,airline,flight_no,std,type_raw,cargo
LGKR,BY,BY7488,06:00,,0
EDDF,LH,LH959,06:05,Airbus A321,0
EHAM,KL,KL1040,05:55,Boeing 737-800,0
LFPG,AF,AF1565,06:00,Embraer 190,0
LIRF,U2,U26681,06:55,Airbus A320,0
LEBL,LS,LS1337,07:00,Boeing 737-800,0
LEMG,BY,BY7484,07:05,Boeing 737-800 (winglets),0
LGAV,LS,LS1213,07:15,Boeing 737-800,0
LEMG,LS,LS1203,07:30,Airbus A321 NEO,0
LEMG,U2,U26627,07:40,Airbus A320,0
LIRF,LS,LS1227,08:00,Boeing 737-800,0
OTHH,QR,QR36,08:10,Boeing 787-8,0
EGPH,U2,U2332,08:45,Airbus A320,0
EHAM,KL,KL1042,09:15,Boeing 737,0
LFPG,AF,AF1165,10:20,Embraer 190,0
EDDF,LH,LH955,10:20,Airbus A320,0
LEBL,FR,FR3793,11:35,Boeing 737 MAX 8,0
LPPR,LS,LS1371,12:30,Boeing 737-800,0
EHAM,KL,KL1046,13:25,Embraer 175,0
LFPG,AF,AF1315,14:30,Embraer 190,0
EGPH,U2,U2917,15:10,Airbus A320,0
LFBD,U2,U26647,15:40,Airbus A320,0
LGKR,FR,FR1679,14:40,Boeing 737-800,0
LEBL,VY,VY8755,14:25,Airbus A319,0
EBBR,AAB,AAB72L,16:21,Cessna 560 Citation Excel,0
LGKR,LS,LS1223,16:30,Airbus A320,0
