arr_icao,airline,flight_no,std,type_raw,cargo
LGKR,U2,U28207,05:50,Airbus A321,0
EHAM,U2,U28672,06:00,Airbus A319,0
LEMD,U2,U28019,06:00,Airbus A319,0
LPPR,A0,A0461M,06:28,Airbus A320,0
LEMG,BY,BY5406,06:00,Boeing 737-800 (winglets),0
EGPH,U2,U2829,06:10,Airbus A319,0
LIRF,U2,U28323,06:30,Airbus A319,0
LPPR,BA,BA2666,06:20,Airbus A320,0
LEMG,U2,U28071,06:45,Airbus A321 (Sharklets),0
LEMG,A0,A02BZ,07:24,Airbus A321,0
LGKR,A0,A09UQ,07:32,Airbus A321,0
LEMG,BA,BA2640,07:10,Airbus A321,0
LGIR,U2,U28215,07:15,Airbus A320 (Sharklets),0
EKCH,U2,U28719,07:25,Airbus A319,0
LEZL,A0,A03ZA,07:44,Airbus A320,0
LGKR,BA,BA2754,07:15,Airbus A321,0
LEBL,U2,U28055,07:30,Airbus A319,0
LEZL,BA,BA2648,06:50,Airbus A320,0
LGIR,BY,BY5480,07:20,Boeing 737 MAX 8,0
EHAM,U2,U28674,08:00,Airbus A320,0
LGIR,A0,A0741W,08:23,Airbus A321,0
LEZL,U2,U28005,07:45,Airbus A319,0
LOWI,U2,U28695,08:05,Airbus A321 (Sharklets),0
LFPG,U2,U28403,08:00,Airbus A319,0
LEMG,LS,LS3105,08:05,Airbus A321 NEO,0
LFLL,U2,U28429,08:15,Airbus A320,0
LEBL,VY,VY6025,08:00,Airbus A320,0
LGKR,U2,U28209,08:30,Airbus A320,0
LSGG,U2,U28487,08:20,Airbus A320,0
LEMG,U2,U28079,08:40,Airbus A319,0
LFBD,U2,U28381,08:25,Airbus A320,0
LIRF,U2,U28325,08:50,Airbus A319,0
OTHH,QR,QR330,09:00,Boeing 787-9,0
LEMG,A0,A088UA,09:25,Airbus A320,0
LEBL,VY,VY7831,09:10,Airbus A320,0
LGKR,BY,BY5446,09:05,Boeing 737-800,0
LEZL,VY,VY6014,09:30,Airbus A320,0
LIMC,U2,U28303,09:15,Airbus A320,0
LEMG,BA,BA2642,08:50,Airbus A320,0
ENGM,DY,DY1303,09:20,Boeing 737-800,0
LEBL,U2,U28057,09:35,Airbus A319,0
LSZH,LX,LX431,09:25,Airbus A220-300,0
EKCH,DY,DY3511,10:00,Boeing 737-800,0
LPPR,U2,U28527,09:40,Airbus A320,0
LEMD,UX,UX1014,10:00,Boeing 737 MAX 8,0
EDDF,DE,DE4122,10:20,Embraer 190,0
EFHK,DY,DY2767,09:55,Boeing 737,0
LFPG,AF,AF1705,10:25,Airbus A220-300,0
LEBL,VY,VY6021,10:55,Airbus A320,0
ESSA,DY,DY4452,11:00,Boeing 737 MAX 8,0
LEMG,U2,U28137,11:45,Airbus A319,0
LEMD,I2,I21862,11:30,Airbus A320 (Sharklets),0
LSGG,U2,U28505,12:25,Airbus A320,0
LEBL,U2,U28059,12:35,Airbus A319,0
LPPR,TP,TP1329,12:05,Airbus A320,0
EGPH,U2,U2805,12:40,Airbus A319,0
EGSS,ZT,ZT51W,13:23,Airbus A320,0
ESSA,DY,DY4456,13:10,Boeing 737-800,0
LFBD,U2,U28383,13:05,Airbus A319,0
LIMC,U2,U28305,13:10,Airbus A319,0
EDDK,EW,EW473,12:00,Airbus A319,0
LEBL,VY,VY7833,13:05,Airbus A320,0
LGAV,GQ,GQ701,13:35,Airbus A320,0
LEBL,VY,VY6027,13:35,Airbus A320,0
LGKR,BA,BA2760,13:45,Airbus A321,0
LGKR,A0,A093CA,14:17,Airbus A321,0
LFBZ,U2,U28397,14:15,Airbus A319,0
LGIR,A0,A05QL,14:51,Airbus A320,0
LGAV,U2,U28185,14:20,Airbus A320 (Sharklets),0
EDDF,DE,DE4244,15:40,Embraer 190,0
ENGM,DY,DY1307,15:05,Boeing 737-800,0
LIRF,U2,U28327,16:10,Airbus A319,0
LIMC,U2,U28149,15:45,Airbus A319,0
EGPH,U2,U2812,16:00,Airbus A320 (Sharklets),0
LEBL,VY,VY7835,15:25,Airbus A320,0
LEBL,VY,VY7827,14:30,Airbus A319,0
LGKR,U2,U28213,16:45,Airbus A320,0
LFPG,U2,U28405,16:30,Airbus A319,0
LEMG,U2,U28073,16:15,Airbus A319,0
LPPR,A0,A0568X,17:21,Airbus A321,0
LFPG,AF,AF1707,17:00,Airbus A220-300,0
LPPR,BA,BA2668,16:35,Airbus A321,0
LEMG,VY,VY6621,16:05,Airbus A320 (Sharklets),0
LSZH,U2,U28473,17:30,Airbus A319,0
LGIR,U2,U28217,16:55,Airbus A320,0
LEBL,U2,U28061,16:40,Airbus A319,0
LEMD,UX,UX1016,17:25,Boeing 737 MAX 8,0
