arr_icao,airline,flight_no,std,type_raw,cargo
LEBL,BA,BA472,06:10,Airbus A320,0
LSZH,LX,LX345,06:00,Airbus A220-300,0
EGPH,BA,BA1436,06:15,Airbus A320,0
LFPG,AF,AF1381,06:15,Airbus A220-300,0
LEMD,BA,BA456,06:15,Airbus A320 NEO,0
LSGG,BA,BA742,06:30,Airbus A320,0
EHAM,KL,KL1000,06:30,Airbus A321 NEO,0
EPWA,LO,LO286,06:30,Boeing 737 MAX 8,0
EDDF,VL,VL921,06:30,Airbus A320 NEO,0
LIRF,BA,BA546,06:40,Airbus A320 NEO,0
ESSA,SK,SK1530,06:40,Airbus A320 NEO,0
EKCH,SK,SK500,06:40,Airbus A320 (Sharklets),0
EDDM,LH,LH2483,06:55,Airbus A320 NEO,0
EHAM,BA,BA428,06:50,Airbus A321 NEO,0
EKCH,BA,BA812,07:00,Airbus A321 (Sharklets),0
EBBR,SN,SN2104,06:50,Airbus A320 NEO,0
ENGM,SK,SK802,07:05,Airbus A321 (Sharklets),0
LSGG,LX,LX359,07:00,Airbus A220-300,0
LFPG,BA,BA300,07:20,Airbus A320 NEO,0
LGAV,BA,BA626,07:20,Airbus A321 NEO,0
EDDM,LH,LH2485,07:25,Airbus A320 (Sharklets),0
EDDM,BA,BA926,07:10,Airbus A320,0
EDDF,LH,LH923,07:30,Airbus A320 (Sharklets),0
EFHK,AY,AY1340,07:30,Airbus A321,0
LEMD,BA,BA458,07:50,Airbus A320 NEO,0
LIRF,BA,BA548,07:50,Airbus A320,0
LEBL,BA,BA474,07:50,Airbus A320,0
EBBR,BA,BA384,07:45,Airbus A320,0
LEMG,BA,BA422,07:45,Airbus A320 NEO,0
LFLL,BA,BA356,07:55,Airbus A320 (sharklets),0
EGPH,BA,BA1440,08:15,Airbus A321 NEO,0
EPWA,BA,BA842,07:35,Airbus A319,0
LSGG,BA,BA744,07:55,Airbus A320 NEO,0
EDDF,VL,VL925,08:30,Airbus A320 NEO,0
LFPG,BA,BA302,08:25,Airbus A319,0
EHAM,BA,BA430,08:20,Airbus A321 NEO,0
EHAM,KL,KL1002,08:40,Airbus A321 NEO,0
OTHH,QR,QR104,08:25,Airbus A380-800,0
LGKR,BA,BA642,08:40,Airbus A320,0
LSGG,LX,LX353,08:55,Airbus A220-300,0
LSZH,LX,LX317,08:45,Airbus A321 (Sharklets),0
LGAV,BA,BA628,08:35,Airbus A320,0
LEBL,BA,BA476,08:55,Airbus A319,0
EDDM,LH,LH2471,09:00,Airbus A320 NEO,0
LEMD,IB,IB712,09:15,Airbus A320 NEO,0
EDDS,EW,EW2461,09:10,Airbus A319,0
LGAV,BA,BA634,09:20,Airbus A320 NEO,0
LFPG,AF,AF1681,08:55,Airbus A220-300,0
EDDF,LH,LH901,09:30,Airbus A320 NEO,0
LIMC,BA,BA584,09:05,Airbus A320,0
LSZH,BA,BA732,09:20,Airbus A320 NEO,0
ESSA,SK,SK526,09:55,Airbus A321 (Sharklets),0
OTHH,QR,QR120,09:30,Airbus A350-1000,0
LEBL,VY,VY6651,09:55,Airbus A320 (Sharklets),0
EHAM,KL,KL1004,09:55,E295,0
EFHK,AY,AY1332,10:20,Airbus A350-900,0
EKCH,SK,SK502,10:20,Airbus A320 NEO,0
ENGM,SK,SK804,10:35,Airbus A320 NEO,0
LGIR,BA,BA694,10:10,Airbus A320 NEO,0
EGPH,BA,BA1448,10:30,Airbus A320,0
ESSA,BA,BA772,10:35,Airbus A319,0
LIRF,AZ,AZ203,10:30,Airbus A321 NEO,0
KSFO,BA,BA285,10:45,Airbus A380-800,0
KSFO,UA,UA900,10:35,Boeing 787-9,0
LEMD,IB,IB714,10:50,Airbus A320 NEO,0
EDDM,LH,LH2473,10:50,Airbus A320 NEO,0
EPWA,LO,LO282,10:20,Boeing 737 MAX 8,0
