arr_icao,airline,flight_no,std,type_raw,cargo
EGLL,BA,BA1467,05:50,Airbus A321,0
EDDF,LH,LH965,06:10,Airbus A320 (Sharklets),0
EGSS,U2,U2307,06:30,Airbus A320 (Sharklets),0
EGBB,U2,U2331,07:00,Airbus A320,0
EGLL,BA,BA1465,07:00,Airbus A320,0
LFPG,U2,U23241,07:00,Airbus A320,0
EHAM,U2,U23301,07:00,Airbus A320,0
EGSS,RK,RK597,07:25,Boeing 737-800,0
EKCH,FR,FR6924,07:50,Boeing 737 MAX 8,0
OTHH,QR,QR32,07:55,Boeing 787-8,0
EGKK,U2,U2830,08:30,Airbus A319,0
EGLL,BA,BA1437,08:35,Airbus A320 NEO,0
EFHK,AY,AY1372,08:25,Airbus A321,0
ESSA,DY,DY4464,08:55,Boeing 737 MAX 8,0
EHAM,KL,KL924,09:15,Embraer 195,0
EKCH,U2,U23323,09:45,Airbus A320,0
LEMG,FR,FR5091,09:40,Boeing 737,0
LSZH,WK,WK291,08:50,Airbus A220-300,0
LSGG,U2,U23291,10:45,Airbus A320,0
ESSA,SK,SK2546,10:15,Airbus A320 NEO,0
EGLL,BA,BA1441,10:40,Airbus A320,0
EDDM,U2,U23263,10:30,Airbus A320 (Sharklets),0
EGSS,RK,RK1274,11:20,Boeing 737-800,0
EHAM,KL,KL926,11:10,Airbus A320,0
LFPG,AF,AF1687,11:35,Airbus A220-300,0
EGSS,U2,U2311,11:45,Airbus A320,0
EDDF,LH,LH961,13:00,Airbus A320 (Sharklets),0
LEBL,FR,FR6266,10:40,Boeing 737-800,0
EGLL,BA,BA1449,12:40,Airbus A320,0
EHAM,KL,KL928,13:10,Airbus A320,0
ENGM,DY,DY1355,13:10,Boeing 737-800,0
LEMD,U2,U23209,13:30,Airbus A321 NEO,0
EBBR,SN,SN2064,12:40,Airbus A320,0
EGKK,U2,U2811,13:30,Airbus A320 (Sharklets),0
LGKR,U2,U23233,14:30,Airbus A321 NEO,0
EDDK,EW,EW363,14:35,Airbus A319,0
LFPG,U2,U24682,14:25,Airbus A319,0
OTHH,QR,QR30,15:10,Boeing 787-8,0
EGKK,U2,U2806,14:40,Airbus A319,0
EKCH,DY,DY3503,15:10,Boeing 737,0
LIMC,U2,U23834,15:35,Airbus A320,0
EGLL,BA,BA1451,15:30,Airbus A320 (Sharklets),0
EHAM,U2,U23303,15:40,Airbus A320,0
LGIR,LS,LS713,15:55,Airbus A321 NEO,0
LGAV,U2,U23225,16:40,Airbus A320 (Sharklets),0
LGKR,FR,FR7844,16:55,Boeing 737-800,0
EHAM,KL,KL932,17:05,Airbus A321 NEO,0
EGBB,U2,U2918,16:50,Airbus A320,0
LFPG,AF,AF1487,17:25,Airbus A220-300,0
EGLL,BA,BA1455,17:10,Airbus A320 NEO,0
EDDM,LH,LH2525,17:10,Airbus A321,0
