arr_icao,airline,flight_no,std,type_raw,cargo
LEMG,FR,FR8168,06:05,Boeing 737,0
ENGM,RK,RK1392,07:00,Boeing 737-800,0
LEBL,RK,RK8230,06:55,Boeing 737-800,0
EGKK,A0,A09750,07:21,Airbus A321,0
EKCH,FR,FR2618,07:20,Boeing 737 MAX 8,0
LGIR,BY,BY5448,07:20,Boeing 737-800,0
LIRF,LS,LS1543,07:30,Boeing 737-800,0
LGAV,LS,LS1407,07:30,Boeing 737-800,0
LEMG,LS,LS1405,08:00,Airbus A321,0
ESSA,FR,FR1401,08:15,Boeing 737-800,0
LFPG,ZT,ZT51,08:26,Airbus A320,0
LEMG,FR,FR8162,08:20,Boeing 737-800,0
LPPR,FR,FR1261,08:40,Boeing 737-800,0
EGPH,U2,U2308,08:25,Airbus A320 (Sharklets),0
EDDK,FR,FR2352,09:00,Boeing 737-800,0
EGPH,RK,RK596,09:15,Boeing 737-800,0
LEMD,FR,FR347,10:00,Boeing 737-800,0
EFHK,FR,FR2344,10:25,Boeing 737-800,0
LFBZ,FR,FR372,10:40,Boeing 737,0
LIMC,FR,FR2757,09:05,Boeing 737 MAX 8,0
EDDK,FR,FR2816,11:30,Boeing 737-800,0
LGIR,LS,LS1453,12:55,Airbus A321,0
EGPH,U2,U2312,13:40,Airbus A320,0
LEBL,FR,FR9014,14:05,Boeing 737-800,0
LEMD,ZT,ZT669L,14:07,Airbus A321 NEO,0
LGAV,FR,FR15,14:05,Boeing 737 MAX 8,0
LIMC,RK,RK8318,14:05,Boeing 737-800,0
LGKR,LS,LS1489,15:40,Airbus A321,0
LEMD,FR,FR499,14:45,Boeing 737-800,0
ESSA,FR,FR4693,16:55,Boeing 737-800,0
LEZL,FR,FR5374,17:15,Boeing 737-800,0
EDDK,FR,FR2814,17:10,Boeing 737-800,0
LEMG,FR,FR8178,17:10,Boeing 737-800,0
LEBL,FR,FR8214,17:35,Boeing 737-800,0
