arr_icao,airline,flight_no,std,type_raw,cargo
LEMG,HV,HV6115,06:05,Airbus A321 NEO,0
LSZH,LX,LX737,07:00,Airbus A220-300,0
LSGG,KL,KL1929,06:55,Embraer 190,0
LFPG,KL,KL1401,06:55,Boeing 737,0
ESSA,KL,KL1215,06:55,Boeing 737-800,0
EKCH,SK,SK550,07:00,Airbus A319,0
EBBR,KL,KL1701,06:55,Embraer 175,0
LEBL,KL,KL1497,06:35,Embraer 190,0
LGIR,HV,HV6871,06:40,Airbus A321 NEO,0
EKCH,KL,KL1267,07:10,Airbus A321 NEO,0
LEMD,KL,KL1501,07:00,Airbus A321 NEO,0
EGKK,U2,U28671,07:05,Airbus A320,0
ENGM,KL,KL1197,07:00,Embraer 195,0
EPWA,LO,LO270,07:00,Boeing 737 MAX 8,0
LSZH,KL,KL1917,07:10,Boeing 737,0
EGLL,KL,KL1001,07:20,Airbus A321 NEO,0
EDDM,KL,KL1849,07:15,Embraer 190,0
LEMG,U2,U27889,07:25,Airbus A320 NEO,0
LEMD,IB,IB740,07:20,Airbus A320 NEO,0
LFPG,KL,KL1403,07:25,Boeing 737,0
LIRF,KL,KL1601,07:20,Airbus A321 NEO,0
LEMG,HV,HV6113,07:20,Airbus A321 NEO,0
LGKR,OR,OR1115,07:50,Boeing 737,0
LFLL,KL,KL1427,07:50,Embraer 175,0
LPPR,HV,HV6007,07:20,Airbus A321 NEO,0
EBBR,KL,KL9857,08:00,Airbus A330-300,0
EDDS,KL,KL1827,08:00,Embraer 190,0
EDDF,LH,LH1003,08:00,Airbus A320,0
EDDM,LH,LH2311,08:15,Airbus A320 (Sharklets),0
EGPH,KL,KL923,08:05,Embraer 195,0
EGBB,KL,KL1041,08:20,Boeing 737,0
LEBL,KL,KL1511,08:05,Boeing 737,0
LFPG,KL,KL1405,08:10,Boeing 737,0
EDDF,KL,KL1815,08:25,Embraer 175,0
LGAV,KL,KL1953,08:35,Boeing 737,0
EGLL,KL,KL1003,08:40,Embraer 195-E2,0
EGKK,U2,U28673,08:50,Airbus A319,0
EBBR,KL,KL1703,08:55,Boeing 737,0
LPPR,KL,KL1571,09:00,Boeing 737-800,0
EKCH,KL,KL1269,09:20,Boeing 737,0
EGLL,BA,BA445,07:45,Airbus A320,0
ENGM,KL,KL1199,09:20,Boeing 737,0
LEMG,KL,KL1543,09:35,Boeing 737-800,0
LFPG,AF,AF1241,09:35,Airbus A220-300,0
EDDM,KL,KL1019,09:30,Embraer 190,0
EDDM,KL,KL1851,09:40,Boeing 737,0
LIRF,KL,KL1603,09:35,Airbus A321 NEO,0
LSGG,KL,KL1931,09:45,Boeing 737,0
LEMD,KL,KL1503,09:35,Airbus A321 NEO,0
LSZH,KL,KL1919,09:35,Boeing 737-800,0
LSZH,LX,LX725,09:50,Airbus A220-300,0
KSFO,KL,KL605,09:50,Boeing 787-10,0
EDDF,LH,LH987,10:00,Airbus A320,0
EFHK,KL,KL1251,09:45,Airbus A321 NEO,0
EPWA,KL,KL1313,09:55,Boeing 737,0
LEMG,VY,VY8364,10:00,Airbus A320 (Sharklets),0
EGPH,KL,KL925,09:40,Airbus A321 NEO,0
EGBB,NJE,NJE573H,10:05,Challenger 350,0
EGPH,U2,U23302,10:10,Airbus A320,0
EDDF,KL,KL1817,09:55,Embraer 175,0
FACT,KL,KL597,10:10,Boeing 777,0
LEBL,KL,KL1513,10:20,Airbus A321 NEO,0
EKCH,DY,DY3539,10:20,Boeing 737 MAX 8,0
EGLL,BA,BA429,10:15,Airbus A321 NEO,0
EGLL,KL,KL1005,10:15,Airbus A321 NEO,0
EKCH,SK,SK552,10:25,Airbus A320,0
LFPG,AF,AF1341,10:40,Airbus A320,0
EPWA,LO,LO266,10:30,Boeing 737 MAX 8,0
LEMD,UX,UX1098,11:00,Boeing 787-9,0
LEBL,VY,VY8301,10:20,Airbus A320 (Sharklets),0
ESSA,KL,KL1219,11:05,Boeing 737,0
ENGM,SK,SK822,10:45,Airbus A320 (Sharklets),0
ESSA,SK,SK556,11:05,Airbus A320 (Sharklets),0
EDDM,LH,LH2303,11:10,Airbus A319,0
EDDF,LH,LH989,11:15,Airbus A321 (Sharklets),0
LFBD,KL,KL1443,11:40,Embraer 190,0
EGLL,BA,BA431,11:35,Airbus A321 NEO,0
LIMC,KZ,KZ49,11:10,Boeing 747-8,1
EGPH,KL,KL927,11:55,Airbus A321 NEO,0
EDDM,KL,KL1853,12:00,Embraer 190,0
EFHK,AY,AY1302,11:55,Airbus A350-900,0
LEMD,IB,IB732,12:10,Airbus A320 (Sharklets),0
LGAV,KL,KL1955,12:15,Airbus A321 NEO,0
LSZH,KL,KL1921,12:15,Embraer 195,0
LIRF,AZ,AZ107,11:55,Airbus A320 NEO,0
LGAV,A3,A3625,12:20,Airbus A321-200 (sharklets),0
ENGM,KL,KL1201,11:55,Embraer 175,0
LSGG,KL,KL1933,12:05,Embraer 175,0
LFLL,KL,KL1431,11:50,Embraer 190,0
LEBL,VY,VY8308,07:00,Airbus A320,0
EGBB,KL,KL1045,12:25,Embraer 175,0
EKCH,KL,KL1271,12:35,Embraer 175,0
LFPG,KL,KL1407,12:30,Boeing 737-800,0
EGLL,KL,KL1009,13:25,Embraer 195-E2,0
EDDF,KL,KL1819,12:30,Embraer 190,0
LEBL,HV,HV5133,13:30,Boeing 737,0
LPPR,KL,KL1573,13:50,Boeing 737-800,0
LEMD,KL,KL1505,13:50,Boeing 737-800,0
LFPG,AF,AF1641,14:10,Airbus A220-300,0
EPWA,LO,LO264,14:15,Embraer 195,0
EFHK,KL,KL1253,14:20,Boeing 737,0
EBBR,KL,KL1705,13:55,Embraer 175,0
LEBL,KL,KL1517,14:15,Airbus A321 NEO,0
LGAV,GQ,GQ791,14:10,Airbus A320 NEO,0
LIRF,KL,KL1605,14:15,Airbus A321 NEO,0
LFBZ,KL,KL1485,14:25,Embraer 195,0
EKCH,KL,KL1273,14:20,Embraer 195,0
LFBD,KL,KL1445,14:40,Boeing 737,0
ESSA,KL,KL1223,14:35,Airbus A321 NEO,0
ENGM,KL,KL1203,14:35,Airbus A321 NEO,0
EDDF,LH,LH993,14:40,Airbus A321 (Sharklets),0
KSFO,UA,UA969,14:50,Boeing 787-9,0
LEMG,U2,U27893,14:55,Airbus A320 NEO,0
LEBL,VY,VY8303,13:25,Airbus A320 (Sharklets),0
LEMD,IB,IB1346,15:00,Regional-Jet,0
EGLL,BA,BA433,14:55,Airbus A320,0
LSZH,LX,LX729,15:10,Airbus A220-300,0
EKCH,SK,SK548,14:55,Airbus A321 (Sharklets),0
LSGG,KL,KL1935,15:00,Embraer 195,0
LSZH,KL,KL1923,15:20,Boeing 737-800,0
LEBL,VY,VY8313,14:30,Airbus A321,0
EPWA,KL,KL1315,14:35,Boeing 737,0
EDDM,LH,LH2305,15:40,Airbus A320 NEO,0
EDDM,KL,KL1855,15:35,Embraer 195,0
EGPH,KL,KL931,15:40,Airbus A321 NEO,0
LSZH,KU,KU127,15:30,Airbus A330,0
LIMC,EK,EK9922,16:20,Boeing 777,1
LGIR,HV,HV6919,15:50,Airbus A321 NEO,0
LFLL,KL,KL1433,16:00,Boeing 737,0
OTHH,QR,QR274,16:15,Boeing 777-300,0
LFPG,KL,KL1409,16:30,Boeing 737,0
LEBL,VY,VY8310,16:30,Airbus A320,0
ENGM,KL,KL1205,16:50,Boeing 737,0
LEBL,KL,KL1519,16:45,Airbus A321 NEO,0
EKCH,KL,KL1275,16:55,Airbus A321 NEO,0
EDDF,KL,KL1821,16:55,Embraer 175,0
EPWA,KL,KL1317,17:00,Embraer 190,0
LIRF,KL,KL1607,16:35,Boeing 737,0
LEMD,KL,KL1507,17:00,Airbus A321 NEO,0
EGLL,KL,KL1011,16:00,Embraer 195,0
LPPR,KL,KL1575,16:35,Embraer 175,0
EGBB,KL,KL1047,16:35,Boeing 737,0
LEMD,QY,QY6725,17:10,Airbus A300-600,1
LSGG,KL,KL1937,17:05,Embraer 195,0
EGLL,KL,KL1013,17:15,Embraer 195,0
LGAV,HV,HV6867,16:10,Airbus A321,0
LSZH,KL,KL1925,17:15,Boeing 737-800,0
EKCH,SK,SK1550,17:40,Airbus A319,0
LGIR,OR,OR1071,17:30,Boeing 737-800,0
EDDS,KL,KL1833,16:35,Embraer 190,0
LFPG,KL,KL1411,17:50,Boeing 737,0
EDDM,LH,LH2307,17:00,Airbus A319,0
LEMG,HV,HV6111,17:20,Airbus A321 NEO,0
EGLL,BA,BA437,17:50,Airbus A319,0
ESSA,KL,KL1225,17:40,Embraer 195-E2,0
LEZL,HV,HV6727,17:20,Boeing 737-800,0
