arr_icao,airline,flight_no,std,type_raw,cargo
EDDM,LH,LH2447,06:00,Airbus A320,0
EHAM,KL,KL1266,06:00,Boeing 737,0
LFPG,AF,AF1351,06:05,Airbus A220-300,0
EDDF,LH,LH833,06:10,Airbus A320,0
LEMD,FR,FR606,06:15,Boeing 737-800,0
LSZH,LX,LX1279,06:30,Airbus A320 NEO,0
EFHK,AY,AY964,06:45,Embraer 190,0
LEMG,DY,DY3670,06:55,Boeing 737 MAX 8,0
LPPR,DY,DY3612,07:00,Boeing 737 MAX 8,0
LFPG,SK,SK563,07:00,Embraer 195,0
ESSA,SK,SK402,07:00,Airbus A320 NEO,0
ENGM,SK,SK454,07:00,Airbus A320 NEO,0
EGLL,BA,BA823,07:05,Airbus A319,0
LIRF,DY,DY3730,07:05,Boeing 737 MAX 8,0
EPWA,LO,LO460,07:20,Embraer 195,0
EFHK,AY,AY952,07:45,Boeing 737-800,0
LPPR,SK,SK2773,07:55,Airbus A320 (Sharklets),0
EGKK,DY,DY3510,07:55,Boeing 737-800,0
LSZH,SK,SK601,07:55,Airbus A321,0
EDDS,SK,SK657,08:00,Canadair CRJ,0
EFHK,SK,SK1706,08:00,Airbus A320 NEO,0
ESSA,SK,SK1416,08:00,Airbus A320,0
EDDM,SK,SK661,08:00,Bombardier CRJ900,0
EBBR,SK,SK593,08:05,Airbus A320 NEO,0
ENGM,SK,SK1462,08:05,Airbus A320 NEO,0
EGLL,SK,SK501,08:10,Airbus A320 NEO,0
LFPG,DY,DY3636,08:10,Boeing 737-800,0
EHAM,SK,SK2551,08:10,Airbus A320,0
EHAM,DY,DY3538,08:10,Boeing 737 MAX 8,0
EPWA,SK,SK751,08:15,Airbus A321 (Sharklets),0
LSGG,SK,SK613,08:15,Canadair CRJ 900NG,0
LFPG,SK,SK565,08:25,Airbus A321 (Sharklets),0
LIMC,SK,SK1685,08:25,Airbus A320 NEO,0
LEMD,SK,SK581,08:35,Airbus A321 (Sharklets),0
EDDM,LH,LH2439,08:40,Airbus A321,0
EPWA,W6,W61368,08:45,Airbus A321,0
EFHK,AY,AY954,08:50,Airbus A321,0
LIRF,SK,SK681,08:30,Airbus A320 (Sharklets),0
LGAV,SK,SK777,08:50,Airbus A320 NEO,0
ESSA,SK,SK1418,09:00,Airbus A320 NEO,0
LEBL,DY,DY3656,09:00,Boeing 737-800,0
ENGM,HRN,HRN171,09:08,,0
