arr_icao,airline,flight_no,std,type_raw,cargo
ESSA,SK,SK844,06:30,Airbus A320 NEO,0
LEMG,DY,DY1800,06:25,Boeing 737-800,0
EHAM,KL,KL1196,06:30,Boeing 737,0
LFPG,AF,AF1275,06:30,Airbus A220-300,0
EDDF,LH,LH867,06:45,Airbus A320 NEO,0
LGIR,DK,DK1512,07:00,Airbus A330,0
LIMC,SK,SK4717,07:05,Airbus A320 NEO,0
LIRF,DY,DY1870,07:00,Boeing 737 MAX 8,0
EDDM,LH,LH2457,07:10,Airbus A320,0
EPWA,LO,LO486,07:15,Boeing 737-800,0
EGKK,DY,DY1302,07:10,Boeing 737-800,0
LFPG,DY,DY1494,07:15,Boeing 737-800,0
ESSA,DY,DY804,07:40,Boeing 737-800,0
EKCH,DY,DY932,07:40,Boeing 737-800,0
LEMD,DY,DY1718,07:50,Boeing 737-800,0
EKCH,SK,SK451,08:00,Airbus A320 NEO,0
EHAM,SK,SK821,08:00,Airbus A320 (Sharklets),0
EGLL,SK,SK803,08:00,Airbus A320 NEO,0
EDDS,SK,SK4855,08:20,Airbus A320 NEO,0
ESSA,SK,SK480,08:20,Airbus A320 NEO,0
EFHK,AY,AY912,08:35,Airbus A320,0
EBBR,SK,SK4743,08:45,Airbus A320,0
EKCH,SK,SK455,09:00,Airbus A320 NEO,0
LFPG,SK,SK837,09:00,Airbus A320 NEO,0
LEBL,DY,DY1740,09:05,Boeing 737-800,0
EDDM,DY,DY1156,09:10,Boeing 737-800,0
ESSA,SK,SK864,09:25,Canadair CRJ 900NG,0
EHAM,KL,KL1198,09:20,Embraer 195,0
EDDF,LH,LH859,09:55,Airbus A321 (Sharklets),0
EKCH,SK,SK1455,09:55,Airbus A320 NEO,0
LFBD,DY,DY1452,10:15,Boeing 737,0
LSZH,SK,SK841,10:35,Airbus A320 NEO,0
LIMC,DY,DY1876,10:40,Boeing 737 MAX 8,0
EKCH,SK,SK1467,11:00,Airbus A320 NEO,0
EGSS,RK,RK1393,10:35,Boeing 737-800,0
LEMG,DY,DY5021,11:00,Boeing 737,0
LFLL,DY,DY1454,11:10,Boeing 737-800,0
EPWA,LO,LO482,10:45,Boeing 737 MAX 8,0
ESSA,DY,DY812,11:40,Boeing 737 MAX 8,0
EGPH,DY,DY1354,11:40,Boeing 737 MAX 8,0
EDDM,LH,LH2453,11:45,Airbus A321,0
EHAM,KL,KL1200,11:50,Boeing 737,0
EKCH,SK,SK1457,11:55,Embraer 195,0
ESSA,SK,SK868,12:15,Embraer 195,0
EFHK,DY,DY1190,12:45,Boeing 737-800,0
EFHK,AY,AY914,12:50,Airbus A320,0
EGKK,DY,DY1306,13:05,Boeing 737-800,0
EDDF,LH,LH861,13:05,Airbus A320,0
EGLL,SK,SK805,13:15,Airbus A320 (Sharklets),0
EKCH,DY,DY940,13:50,Boeing 737-800,0
LFPG,AF,AF1175,13:55,Airbus A220-300,0
ESSA,SK,SK496,13:55,Airbus A320 (Sharklets),0
EKCH,SK,SK1469,13:35,Airbus A320 NEO,0
LGIR,DY,DY1888,14:10,Boeing 737-800,0
EHAM,KL,KL1202,14:10,Embraer 175,0
LSZH,LX,LX1211,14:05,Embraer 195,0
EGLL,SK,SK809,15:05,Airbus A320 NEO,0
EKCH,SK,SK1471,15:05,Airbus A320 NEO,0
ESSA,SK,SK486,15:15,Airbus A320 NEO,0
ESSA,DY,DY816,15:00,Boeing 737-800,0
EKCH,SK,SK459,16:00,Airbus A320 NEO,0
ESSA,SK,SK882,16:10,Airbus A320 NEO,0
EKCH,DY,DY3229,16:00,Boeing 737-800,0
OTHH,QR,QR176,16:05,Boeing 787-9,0
LIRF,DY,DY1872,16:45,Boeing 737-800,0
EHAM,SK,SK827,16:30,Airbus A321 (Sharklets),0
ESSA,SK,SK884,16:55,Airbus A320 NEO,0
EHAM,KL,KL1204,17:20,Airbus A321 NEO,0
LFPG,SK,SK839,17:15,Airbus A320 NEO,0
EFHK,AY,AY916,17:20,Airbus A319,0
EPWA,DY,DY1020,17:25,Boeing 737-800,0
EGKK,DY,DY1308,17:45,Boeing 737-800,0
ESSA,SK,SK488,17:50,Airbus A320 (Sharklets),0
EKCH,SK,SK461,18:00,Airbus A319,0
