arr_icao,airline,flight_no,std,type_raw,cargo
EDDM,LH,LH1617,06:00,Airbus A319,0
EHAM,KL,KL1310,06:00,Boeing 737-800,0
LIRF,W6,W61441,06:05,Airbus A321 NEO,0
LFPG,AF,AF1247,06:05,Airbus A220-300,0
EDDF,LH,LH1353,06:40,Airbus A320,0
EKCH,W6,W61367,06:40,Airbus A321,0
LIRF,LO,LO301,07:20,Boeing 737 MAX 8,0
LFPG,LO,LO331,07:20,Boeing 737 MAX 8,0
LSGG,LO,LO417,07:20,Embraer 195,0
EBBR,LO,LO235,07:15,Embraer 195,0
LIMC,LO,LO317,07:35,Embraer 175,0
EDDM,LO,LO351,07:30,Boeing 737 MAX 8,0
LSZH,LO,LO411,07:35,Embraer 195,0
EDDF,LO,LO381,07:40,Boeing 737-800,0
EHAM,LO,LO265,07:25,Boeing 737 MAX 8,0
EGLL,BA,BA847,08:00,Airbus A321,0
EGLL,LO,LO281,07:25,Boeing 737,0
EDDS,LO,LO371,08:15,Embraer 195,0
ENGM,LO,LO481,07:55,Boeing 737 MAX 8,0
ESSA,LO,LO453,08:05,Boeing 737-800,0
EFHK,AY,AY1142,08:55,Airbus A319,0
LEBL,LO,LO437,08:30,Boeing 737 MAX 8,0
EKCH,LO,LO463,08:30,Embraer 190,0
OTHH,QR,QR264,09:35,Boeing 787-8,0
LPPR,LO,LO427,09:20,Boeing 737 MAX 8,0
EDDF,LH,LH1347,09:40,Airbus A319,0
LGAV,LO,LO601,09:20,Boeing 737 MAX 8,0
LIMC,W4,W46388,09:35,Airbus A321,0
EKCH,SK,SK752,10:15,Airbus A321 (Sharklets),0
LEMD,LO,LO433,10:40,Boeing 737 MAX 8,0
LEMG,LO,LO439,10:20,Boeing 737,0
EHAM,LO,LO263,10:30,Embraer 195,0
LEMG,FR,FR6640,11:30,Boeing 737-800,0
LGKR,W6,W61543,12:05,Airbus A321,0
KSFO,LO,LO35,11:00,Boeing 787-8,0
EGLL,BA,BA843,11:50,Airbus A319,0
LFPG,AF,AF1147,12:25,Airbus A220-300,0
EHAM,KL,KL1314,12:25,Boeing 737,0
EFHK,AY,AY1144,13:00,Embraer 190,0
LGAV,GQ,GQ771,13:05,Airbus A320 NEO,0
EDDM,LH,LH1613,13:15,Airbus A319,0
LEMG,W6,W61359,13:35,Airbus A321,0
EBBR,LO,LO237,13:50,Embraer 175,0
LEBL,LO,LO435,13:50,Boeing 737 MAX 8,0
EDDF,LH,LH1349,14:15,Airbus A319,0
EKCH,SK,SK2762,15:05,Airbus A320 NEO,0
LSZH,LX,LX1349,14:50,Embraer 190,0
EGLL,LO,LO279,15:20,Boeing 737 MAX 8,0
LIRF,LO,LO303,15:35,Embraer 195,0
LEBL,W6,W61477,15:55,Airbus A321 NEO,0
LGIR,W6,W61545,16:10,Airbus A321 NEO,0
LIMC,LO,LO319,16:40,Embraer 190,0
LFPG,LO,LO335,16:20,Boeing 737 MAX 8,0
LSGG,LO,LO415,16:30,Embraer 195,0
LFPG,AF,AF1347,16:30,Airbus A220-300,0
EBBR,LO,LO233,16:35,Embraer 195,0
EDDM,LH,LH1615,17:05,Airbus A320 (Sharklets),0
EDDM,LO,LO353,17:10,Embraer 190,0
ESSA,LO,LO457,16:50,Boeing 737-800,0
EHAM,LO,LO267,16:45,Boeing 737 MAX 8,0
LSZH,LO,LO409,17:00,Boeing 737-800,0
ENGM,LO,LO483,16:50,Boeing 737 MAX 8,0
OTHH,QR,QR260,17:40,Boeing 787-8,0
EKCH,LO,LO461,17:00,Boeing 737-800,0
EDDF,LO,LO379,17:00,Boeing 737 MAX 8,0
