arr_icao,airline,flight_no,std,type_raw,cargo
LSZH,LX,LX1255,06:05,Airbus A320 NEO,0
EDDF,LH,LH811,06:10,Airbus A320,0
EGSS,FR,FR1400,06:20,Boeing 737-800,0
ENGM,SK,SK485,06:25,Airbus A320 (Sharklets),0
EHAM,KL,KL1214,06:30,Airbus A321 NEO,0
LGAV,SK,SK1833,06:00,Airbus A320 NEO,0
LEBL,DY,DY4251,06:40,Boeing 737 MAX 8,0
LIRF,DY,DY4355,07:00,Boeing 737 MAX 8,0
EKCH,SK,SK1417,07:00,Airbus A320 NEO,0
EDDS,EW,EW4606,07:05,Airbus A319,0
LFPG,SK,SK573,07:00,Airbus A320 (Sharklets),0
LEMG,DY,DY4221,07:00,Boeing 737,0
EGPH,DY,DY4463,07:00,Boeing 737 MAX 8,0
LEMG,SK,SK1803,07:05,Airbus A321 (Sharklets),0
EGLL,SK,SK525,07:05,Airbus A321 (Sharklets),0
EFHK,AY,AY802,07:25,Airbus A320,0
LEMD,SK,SK1581,07:30,Airbus A320 NEO,0
ENGM,SK,SK843,07:30,Canadair CRJ 900NG,0
EFHK,DY,DY2603,07:35,Boeing 737 MAX 8,0
LGIR,DK,DK1684,07:40,Airbus A330,0
EGLL,BA,BA779,07:40,Airbus A320,0
EPWA,LO,LO456,07:40,Embraer 195,0
ENGM,ET,ET714,07:40,Boeing 787-8,0
EKCH,SK,SK401,08:00,Airbus A320 (Sharklets),0
EHAM,SK,SK1553,08:10,Airbus A320 (Sharklets),0
EFHK,AY,AY804,08:00,Embraer 190,0
ENGM,SK,SK847,08:10,Airbus A320 NEO,0
LGIR,JP,JP639,08:05,Boeing 737-800,0
EGPH,SK,SK2545,08:10,Airbus A320 NEO,0
EGKK,DY,DY4451,08:45,Boeing 737 MAX 8,0
EKCH,SK,SK403,09:00,Airbus A320 NEO,0
OTHH,QR,QR170,09:10,Boeing 787-9,0
EFHK,SK,SK702,08:25,ATR 72,0
EHAM,KL,KL1216,09:35,Boeing 737-800,0
EKCH,SK,SK1419,09:55,Airbus A320,0
EDDF,VL,VL801,10:05,Airbus A320 NEO,0
EFHK,AY,AY808,10:55,Airbus A320,0
EFHK,SK,SK708,10:45,ATR 72,0
EGKK,DY,DY4455,10:55,Boeing 737-800,0
EKCH,SK,SK1421,11:00,Airbus A320 NEO,0
EGLL,SK,SK531,11:10,Airbus A320 NEO,0
EPWA,LO,LO454,10:30,Boeing 737-800,0
EKCH,DY,DY3197,11:50,Boeing 737 MAX 8,0
ENGM,SK,SK495,12:15,Airbus A320 (Sharklets),0
EFHK,AY,AY824,12:35,Embraer 190,0
EDDM,LH,LH2415,11:50,Airbus A321,0
LEBL,DY,DY5501,12:05,Boeing 737-800,0
LGKR,FR,FR7689,12:25,Boeing 737-800,0
EFHK,AY,AY806,12:45,Airbus A321 (Sharklets),0
LFPG,AF,AF1263,12:40,Airbus A220-300,0
EDDM,DY,DY4501,13:00,Boeing 737 MAX 8,0
LSZH,LX,LX1249,13:05,Airbus A220-300,0
EKCH,SK,SK1423,13:20,Airbus A320 NEO,0
EFHK,AY,AY810,13:15,Embraer 190,0
ENGM,DY,DY813,13:15,Boeing 737 MAX 8,0
EDDF,LH,LH803,13:10,Airbus A320,0
EFHK,SK,SK710,13:50,Canadair CRJ 900,0
EHAM,KL,KL1220,13:55,Boeing 737,0
EFHK,AY,AY812,13:55,Embraer 190,0
ENGM,SK,SK867,13:55,Embraer 195,0
EDDS,FH,FH850,14:16,Airbus A320,0
LEMG,FR,FR6389,14:20,Boeing 737-800,0
LGAV,A3,A3761,13:50,Airbus A320 NEO,0
LFPG,DY,DY2046,14:50,Boeing 737-800,0
LEMD,IB,IB824,14:50,Airbus A320 NEO,0
LEMG,DY,DY4223,14:00,Boeing 737 MAX 8,0
EGSS,FR,FR4692,15:00,Boeing 737-800,0
EKCH,SK,SK1407,15:05,Airbus A320 NEO,0
EGLL,BA,BA773,15:00,Airbus A319,0
EDDM,LH,LH2417,15:10,Airbus A320 (Sharklets),0
ENGM,SK,SK883,15:10,Airbus A320 NEO,0
EFHK,DY,DY2613,14:45,Boeing 737-800,0
EGLL,SK,SK527,15:25,Airbus A320 NEO,0
EBBR,SK,SK1589,16:05,Airbus A320 NEO,0
EKCH,SK,SK407,16:00,Airbus A321 (Sharklets),0
LIRF,DY,DY4357,16:05,Boeing 737-800,0
ENGM,SK,SK491,16:10,Airbus A320 (Sharklets),0
EHAM,SK,SK1555,16:10,Airbus A320 NEO,0
LSZH,LX,LX1251,15:35,Airbus A321 NEO,0
EFHK,AY,AY814,16:40,Airbus A321,0
ENGM,SK,SK497,16:55,Airbus A320 NEO,0
ENGM,DY,DY817,16:30,Boeing 737-800,0
EKCH,SK,SK1429,17:05,Airbus A320 NEO,0
EDDF,LH,LH805,17:20,Airbus A321,0
EBBR,SN,SN2294,17:35,Airbus A320 (Sharklets),0
LFPG,SK,SK579,17:35,Airbus A320 NEO,0
EFHK,AY,AY816,17:40,Airbus A321,0
EGKK,DY,DY4459,17:30,Boeing 737 MAX 8,0
ENGM,SK,SK885,17:50,Airbus A321 (Sharklets),0
EKCH,DY,DY3211,17:30,Boeing 737-800,0
EKCH,SK,SK409,18:00,Airbus A320 (Sharklets),0
