arr_icao,airline,flight_no,std,type_raw,cargo
EHAM,KL,KL606,13:45,Boeing 787-10,0
EDDF,UA,UA58,13:55,Boeing 777-200,0
EDDM,UA,UA194,14:00,Boeing 777-200,0
LSZH,UA,UA44,14:20,Boeing 777-200,0
EHAM,UA,UA968,14:55,Boeing 787-9,0
EDDF,LH,LH455,14:40,Boeing 747-8,0
LFPG,AF,AF83,15:05,Boeing 777-300ER,0
LIRF,AZ,AZ641,15:15,Airbus A330,0
LFPG,UA,UA990,14:40,Boeing 777-200,0
EGLL,BA,BA284,16:35,Airbus A380-800,0
OTHH,QR,QR738,15:55,Airbus A350-1000,0
EGLL,UA,UA901,13:00,Boeing 787-9,0
EDDF,DE,DE2097,16:30,Airbus A330-900,0
EGLL,UA,UA948,16:50,Boeing 787-9,0
LIRF,UA,UA507,16:55,Boeing 777-200,0
EKCH,SK,SK936,16:45,Airbus A350-900,0
EPWA,LO,LO36,15:55,Boeing 787-8,0
LFPG,UA,UA990R,17:28,Boeing 777-200,0
