arr_icao,airline,flight_no,std,type_raw,cargo
LIRF,FR,FR3180,06:05,Boeing 737-800 (winglets),0
EBBR,FR,FR2918,06:05,Boeing 737-800,0
LEMG,FR,FR3080,06:10,Boeing 737-800,0
EGKK,VY,VY6024,05:50,Airbus A320,0
LFPG,AF,AF1449,06:10,Airbus A321,0
EDDM,QY,QY236P,06:31,Boeing 737,0
LIRF,AZ,AZ75,06:20,Airbus A320 NEO,0
LGAV,VY,VY8100,06:30,Airbus A321 (sharklets),0
LIRF,VY,VY6100,06:30,Airbus A321 (sharklets),0
EHAM,KL,KL1510,06:20,Airbus A321 NEO,0
LSZH,VY,VY6246,07:00,Airbus A320 (Sharklets),0
EGKK,VY,VY7830,07:00,Airbus A320,0
LEMD,IB,IB426,06:55,Airbus A320 NEO,0
LEMD,IB,IB426S,06:55,Airbus A320 NEO,0
EDDF,LH,LH1139,06:40,Airbus A321,0
EDDS,VY,VY1868,07:10,Airbus A320,0
LSGG,VY,VY6200,07:10,Airbus A320,0
LPPR,VY,VY8476,07:00,Airbus A320,0
EHAM,VY,VY8300,07:10,Airbus A320 (Sharklets),0
LEMG,VY,VY2115,07:10,Airbus A321 (sharklets),0
ENGM,DY,DY8431,07:00,Boeing 737 MAX 8,0
EGKK,U2,U28058,07:30,Airbus A319,0
EDDM,VY,VY1812,07:30,Airbus A321,0
LIMC,VY,VY6330,07:30,Airbus A321 NEO,0
EGLL,VY,VY6650,07:30,Airbus A320 (Sharklets),0
EGLL,BA,BA487,07:45,Airbus A320 (Sharklets),0
EKCH,VY,VY1870,07:40,Airbus A320 (Sharklets),0
LSGG,U2,U27105,07:10,Airbus A320,0
LFPG,VY,VY8242,07:25,Airbus A321,0
ESSA,DY,DY5500,07:50,Boeing 737-800 (winglets),0
EDDM,LH,LH1819,07:55,Airbus A321,0
LIMC,FR,FR7539,08:10,Boeing 737-800,0
EBBR,VY,VY8980,08:00,Airbus A320 (sharklets),0
EDDF,LH,LH1137,08:00,Airbus A321,0
EDDF,DE,DE4326,08:00,Airbus A321 NEO,0
EDDK,FR,FR2511,08:30,Boeing 737-800,0
EGKK,VY,VY6020,08:45,Airbus A320,0
EDDS,EW,EW2521,09:00,Airbus A319,0
EDDK,EW,EW521,09:00,Airbus A320,0
EDDM,VL,VL1809,09:10,Airbus A320 NEO,0
