arr_icao,airline,flight_no,std,type_raw,cargo
LIMC,FR,FR2753,06:10,Boeing 737-800,0
LIRF,AZ,AZ59,05:55,Airbus A320,0
EHAM,KL,KL1500,06:00,Airbus A321 NEO,0
EPWA,LO,LO432,06:10,Boeing 737-800,0
LEMG,AM,AM6841,06:30,Boeing 737-800 (winglets),0
EDDF,LH,LH1121,06:05,Airbus A321,0
LPPR,AD,AD7869,06:35,Boeing 737 MAX 8,0
EBBR,SN,SN3732,06:20,Airbus A320,0
LPPR,UX,UX1147,06:35,Boeing 737 MAX 8,0
LEMG,UX,UX5035,06:30,Boeing 737-800 (winglets),0
EDDF,VN,VN3166,07:00,Boeing 737 MAX 8,0
LIRF,EY,EY7555,07:00,Boeing 737-800 (winglets),0
LPPR,ET,ET740,06:55,Boeing 787-9,0
EHAM,UX,UX1091,07:00,Boeing 787-8,0
EGLL,IB,IB711,07:00,Airbus A320 NEO,0
EDDF,UX,UX1503,07:00,Boeing 737 MAX 8,0
EDDM,UX,UX1515,07:10,Boeing 737 MAX 8,0
EHAM,GA,GA9469,07:00,Boeing 787-9,0
LFBD,IB,IB1199,07:10,Regional-Jet,0
LEBL,IB,IB403,07:05,Airbus A321,0
EDDM,AM,AM6900,07:10,Boeing 737 MAX 8,0
LIRF,UX,UX1043,07:00,Boeing 737-800 (winglets),0
LEMG,IB,IB527,07:10,Airbus A320 NEO,0
EDDM,VL,VL1807,07:00,Airbus A320 NEO,0
EBBR,AM,AM6821,07:20,Boeing 737 MAX 8,0
EBBR,UX,UX1171,07:20,Boeing 737 MAX 8,0
LEZL,I2,I21751,07:25,Airbus A320,0
LSGG,IB,IB1275,07:15,Bombardier CRJX,0
LEBL,UX,UX7701,07:30,Boeing 787-9,0
LEBL,KE,KE6651,07:30,Boeing 787-9,0
EGKK,AR,AR7324,07:30,Boeing 737 MAX 8,0
LPPR,IB,IB1147,07:20,Regional-Jet,0
LIMC,AM,AM6902,07:40,Boeing 737-800 (winglets),0
LEBL,IB,IB405,07:40,Airbus A320,0
LIMC,UX,UX1065,07:40,Boeing 737-800 (winglets),0
LSZH,AM,AM6946,07:50,Boeing 737-800 (winglets),0
LEZL,3V,3V1VQ,07:55,Boeing 737-800,0
EGKK,UX,UX1013,07:30,Boeing 737 MAX 8,0
LSZH,UX,UX1675,07:50,Boeing 737-800 (winglets),0
LIMC,IB,IB671,07:30,Airbus A320 NEO,0
EGLL,IB,IB713,08:05,Airbus A320 NEO,0
EGSS,FR,FR348,08:10,Boeing 737-800,0
LSGG,UX,UX1663,08:00,Boeing 737-800 (winglets),0
EDDF,LH,LH1123,08:20,Airbus A321,0
LGKR,IB,IB843,08:35,Airbus A320 NEO,0
LEBL,IB,IB407,08:25,Airbus A320,0
EHAM,IB,IB731,08:40,Airbus A320 (sharklets),0
LSZH,IB,IB627,08:45,Airbus A321,0
EDDM,IB,IB1309,08:55,Regional-Jet,0
LIRF,FR,FR9674,09:00,Boeing 737-800,0
LIRF,IB,IB647,08:45,Airbus A321,0
EBBR,IB,IB597,09:05,Airbus A320 NEO,0
OTHH,QR,QR148,09:05,Boeing 787-9,0
LEZL,UX,UX5051,09:20,Boeing 737-800,0
EGLL,IB,IB715,09:10,Airbus A320 NEO,0
LIRF,W4,W46012,09:25,Airbus A321 NEO,0
EGKK,I2,I21861,09:30,Airbus A320 (Sharklets),0
LPPR,FR,FR572,09:50,Boeing 737-800,0
LFPG,IB,IB585,09:45,Airbus A320 NEO,0
LIMC,W4,W46312,09:55,Airbus A321 NEO,0
LSGG,IB,IB613,09:50,Airbus A321,0
EPWA,W6,W61472,10:10,Airbus A321 NEO,0
LSZH,LX,LX2021,10:05,Airbus A320 NEO,0
EGSS,FR,FR5995,10:05,Boeing 737-800,0
EGKK,U2,U28020,10:15,Airbus A319,0
LFLL,IB,IB1179,10:05,Regional-Jet,0
EKCH,FR,FR607,10:15,Boeing 737 MAX 8,0
ESSA,IB,IB823,10:15,Airbus A320 NEO,0
LGAV,IB,IB833,10:30,Airbus A320 NEO,0
LPPR,UX,UX1145,10:35,Boeing 737 MAX 8,0
EHAM,KL,KL1502,10:25,Airbus A321 NEO,0
EGLL,BA,BA457,10:30,Airbus A320 NEO,0
LEMG,UX,UX5043,10:35,Boeing 737-800,0
EFHK,AY,AY1662,10:15,Airbus A321,0
LPPR,IB,IB1149,11:25,Regional-Jet,0
LFPG,IB,IB573,11:25,Airbus A320 NEO,0
EKCH,IB,IB817,11:30,Airbus A320 (sharklets),0
LEMG,IB,IB1003,11:25,Regional-Jet,0
LEBL,IB,IB411,11:25,Airbus A320 (sharklets),0
LIRF,IB,IB649,11:40,Airbus A321,0
EHAM,IB,IB1345,11:30,Bombardier CRJX,0
LSGG,IB,IB1281,11:30,Bombardier CRJX,0
EDDM,LH,LH1801,11:50,Airbus A321 (Sharklets),0
LIMC,IB,IB673,11:40,Airbus A321,0
LIRF,AZ,AZ61,11:35,BCS3,0
LSZH,IB,IB629,11:50,Airbus A320 NEO,0
EGLL,BA,BA459,12:05,Airbus A320 NEO,0
ENGM,DY,DY1719,12:20,Boeing 737-800,0
ESSA,SK,SK1582,12:40,Airbus A320 NEO,0
EBBR,SN,SN3722,12:40,Airbus A320,0
EKCH,SK,SK582,12:50,Airbus A321 (Sharklets),0
LFPG,AF,AF1301,12:20,Airbus A318,0
LEBL,IB,IB413,12:40,Airbus A320,0
LIMC,FR,FR7912,12:30,Boeing 737-800,0
LIMC,UX,UX1063,12:50,Boeing 737-800,0
LIRF,IB,IB651,13:00,Airbus A321,0
EHAM,KL,KL1504,13:05,Airbus A321 NEO,0
EDDF,LH,LH1113,13:05,Airbus A321,0
LIRF,UX,UX1041,13:20,Boeing 737-800,0
EHAM,QY,QY72E,13:18,Airbus A300-600,0
LGAV,A3,A3701,13:00,Airbus A321 NEO,0
LEZL,IB,IB1071,11:25,Bombardier CRJX,0
LIRF,FR,FR2436,12:40,Boeing 737-800,0
EBBR,FR,FR2948,14:00,Boeing 737-800,0
EGSS,FR,FR498,12:55,Boeing 737-800,0
ESSA,IB,IB827,14:00,Airbus A320 NEO,0
KSFO,IB,IB355,12:45,Airbus A330,0
EGLL,IB,IB717,13:25,Airbus A320 NEO,0
LGAV,GQ,GQ921,14:20,Airbus A320 NEO,0
LPPR,UX,UX1143,15:00,Boeing 737 MAX 8,0
LIRF,UX,UX1047,15:00,Boeing 737-800,0
EHAM,UX,UX1093,15:00,Boeing 737 MAX 8,0
EDDM,VL,VL1803,14:55,Airbus A320 NEO,0
EGLL,IB,IB719,14:55,Airbus A320 NEO,0
LSZH,UX,UX1671,14:55,Boeing 737-800,0
EGKK,UX,UX1015,15:00,Boeing 737 MAX 8,0
LIMC,UX,UX1061,15:15,Boeing 737-800,0
LEBL,UX,UX7703,15:10,Boeing 787-9,0
LGAV,IB,IB835,15:05,Airbus A320 NEO,0
EDDF,UX,UX1509,15:15,Boeing 737 MAX 8,0
EDDM,UX,UX1517,15:15,Boeing 737 MAX 8,0
EBBR,UX,UX1173,15:30,Boeing 737 MAX 8,0
EPWA,LO,LO434,15:35,Boeing 737 MAX 8,0
LPPR,IB,IB1151,15:35,Regional-Jet,0
LIRF,IB,IB653,15:50,Airbus A320 NEO,0
LEMG,UX,UX5039,15:00,Boeing 737-800,0
LEMG,IB,IB1005,15:40,Canadair CRJ 100,0
LIMC,IB,IB675,16:10,Airbus A320 NEO,0
EDDF,IB,IB765,16:15,Airbus A321,0
LFBD,IB,IB1203,16:00,Regional-Jet,0
LEBL,IB,IB417,15:55,Airbus A320,0
LFPG,IB,IB579,16:10,Airbus A320 NEO,0
OTHH,QR,QR150,15:45,Boeing 777-300ER,0
LGAV,IB,IB831,16:40,Airbus A320 NEO,0
EBBR,IB,IB601,16:35,Airbus A321,0
LSGG,IB,IB1279,16:10,Regional-Jet,0
LFPG,AF,AF1601,16:40,Embraer 190,0
LFPG,IB,IB589,15:50,Airbus A320 (sharklets),0
LSZH,IB,IB631,16:40,Airbus A320 NEO,0
EGPH,IB,IB709,16:40,Airbus A320 NEO,0
LSGG,UX,UX1665,17:00,Boeing 737-800 (winglets),0
LFLL,IB,IB1183,16:50,Regional-Jet,0
EHAM,KL,KL1506,17:20,Boeing 737-800,0
EDDM,IB,IB1313,16:30,Regional-Jet,0
EGLL,BA,BA463,17:30,Airbus A321 NEO,0
LIRF,IB,IB655,17:05,Airbus A320,0
EBBR,SN,SN3728,17:35,Airbus A320 NEO,0
EGLL,IB,IB721,15:45,Airbus A350-900,0
EGLL,IB,IB725,17:45,Airbus A320 NEO,0
LFPG,AF,AF1801,17:45,Airbus A220-300,0
