arr_icao,airline,flight_no,std,type_raw,cargo
EGSS,FR,FR8163,06:00,Boeing 737-800,0
EGKK,U2,U28078,06:10,Airbus A319,0
ENGM,DY,DY5020,06:15,Boeing 737 MAX 8,0
LSGG,U2,U27023,06:00,Airbus A320 (sharklets),0
LFPG,AF,AF1749,06:00,Airbus A320,0
EHAM,VY,VY8365,06:10,Airbus A320 (sharklets),0
EKCH,DY,DY5070,06:15,Boeing 737 MAX 8,0
EGPH,FR,FR5090,06:10,Boeing 737-800,0
LSZH,LX,LX2121,06:30,Airbus A321 NEO,0
LEBL,VY,VY2110,06:45,Airbus A320 NEO,0
EDDM,DY,DY5140,07:10,Boeing 737 MAX 8,0
EPWA,FR,FR6639,07:15,Boeing 737 MAX 8,0
EBBR,VY,VY2150,07:30,Airbus A320 (sharklets),0
EKCH,FR,FR647,07:30,Boeing 737 MAX 8,0
LEBL,FR,FR3081,08:30,Boeing 737-800,0
LEMD,UX,UX5042,08:35,Boeing 737-800,0
LEMD,IB,IB528,09:10,Airbus A320,0
LEBL,VY,VY2019,08:00,Airbus A320,0
LPPR,FR,FR7635,09:45,Boeing 737-800 (winglets),0
EHAM,DL,DL7478,10:00,Airbus A321 NEO,0
EBBR,SN,SN3734,10:05,Airbus A320,0
LIMC,U2,U23744,10:10,Airbus A320 (sharklets),0
EDLV,FR,FR8613,10:05,Boeing 737 MAX 8,0
LEBL,VY,VY2114,09:40,Airbus A321,0
EBBR,TB,TB1012,09:40,Boeing 737-800,0
EBBR,HV,HV9032,10:25,Boeing 737-800,0
EGSS,FR,FR8169,10:35,Boeing 737 MAX 8,0
EGKK,W9,W95724,10:45,Airbus A321 NEO,0
EGKK,U2,U28068,10:15,Airbus A320 (sharklets),0
EFHK,DY,DY2883,11:05,Boeing 737,0
EGKK,BY,BY5407,11:05,Boeing 737-800 (winglets),0
EHAM,U2,U27890,11:05,Airbus A320 NEO,0
EKCH,DY,DY3671,11:25,Boeing 737 MAX 8,0
EHAM,HV,HV6114,11:15,Airbus A321 NEO,0
ENGM,DY,DY1801,11:20,Boeing 737-800,0
EGKK,U2,U28072,11:30,Airbus A320 (Sharklets),0
EGKK,BA,BA2641,12:00,Airbus A321,0
EGKK,A0,A064C,12:14,Airbus A321,0
EGBB,U2,U26628,12:15,Airbus A320,0
ESSA,DY,DY4222,12:10,Boeing 737,0
EGBB,BY,BY7485,12:25,Boeing 737-800 (winglets),0
EDDM,LH,LH1833,12:30,Airbus A321,0
EGBB,LS,LS1204,12:25,Airbus A321 NEO,0
ESSA,SK,SK1804,12:30,Airbus A320 NEO,0
LEMD,UX,UX5036,12:35,Boeing 737-800,0
LFPG,AF,AF1747,12:40,Embraer 190,0
EGSS,LS,LS1406,12:45,Airbus A321,0
LIRF,AZ,AZ91,12:50,BCS3,0
EGKK,LS,LS3106,13:00,Airbus A321 NEO,0
LIRF,FR,FR6106,13:05,Boeing 737-800 (winglets),0
LSZH,LX,LX2111,13:15,Airbus A320 NEO,0
LEMD,IB,IB1004,13:25,Regional-Jet,0
EHAM,KL,KL1544,13:25,Boeing 737-800,0
EGLL,BA,BA423,12:40,Airbus A320 NEO,0
EDDF,LH,LH1149,13:25,Airbus A321 (Sharklets),0
EGKK,U2,U28080,13:55,Airbus A319,0
EGKK,VY,VY6620,13:25,Airbus A320 (sharklets),0
EGKK,BA,BA2643,13:40,Airbus A320,0
EGKK,A0,A03XB,14:36,Airbus A320,0
LEBL,QR,QR3528,14:30,Airbus A321 (sharklets),0
ENGM,DY,DY5022,14:40,Boeing 737,0
EDDF,LH,LH1119,14:55,Airbus A320 (Sharklets),0
EHAM,VY,VY8363,15:00,Airbus A320 (Sharklets),0
EDDK,EW,EW535,14:45,Boeing 737-800 (winglets),0
ESSA,FR,FR4687,15:10,Boeing 737-800,0
EKCH,DY,DY5072,15:15,Boeing 737 MAX 8,0
EBBR,SN,SN3736,15:40,Airbus A320,0
LEBL,VY,VY2120,15:30,Airbus A320 (sharklets),0
EDDS,EW,EW2537,16:10,Airbus A320,0
LIRF,W4,W46026,15:15,Airbus A321,0
EKCH,DY,DY5074,16:20,Boeing 737 MAX 8,0
EGKK,U2,U28138,16:15,Airbus A319,0
OTHH,QR,QR156,16:05,Airbus A350-900,0
EPWA,LO,LO440,15:30,Boeing 737 MAX 8,0
LIMC,W4,W46308,16:30,Airbus A321,0
LSZH,LX,LX2115,16:50,Airbus A320 NEO,0
EGLL,BA,BA425,17:00,Airbus A320 (Sharklets),0
LEBL,VY,VY2122,17:05,Airbus A321,0
EDLV,FR,FR8635,17:25,Boeing 737 MAX 8,0
EFHK,AY,AY1672,17:35,Airbus A321,0
LFPG,AF,AF1759,17:15,Airbus A320,0
EGKK,VY,VY6616,17:35,Airbus A320,0
LEMD,IB,IB1006,17:35,Bombardier CRJX,0
LEMD,UX,UX5050,17:05,Boeing 737-800 (winglets),0
EGSS,FR,FR8165,17:55,Boeing 737-800,0
EDDF,LH,LH1151,17:45,Airbus A321,0
