arr_icao,airline,flight_no,std,type_raw,cargo
LEBL,VY,VY2213,06:50,Airbus A320 (Sharklets),0
EGKK,VY,VY6015,07:05,Airbus A320 (sharklets),0
LEMD,I2,I21752,09:15,Airbus A320,0
LIRF,FR,FR8446,10:00,Boeing 737-800,0
LEMD,UX,UX5052,11:20,Boeing 737-800 (winglets),0
EGKK,BA,BA2649,11:50,Airbus A320,0
EGKK,U2,U28006,12:10,Airbus A319,0
EDDF,LH,LH1141,12:20,Airbus A321 NEO,0
EDDM,VL,VL1823,12:55,Airbus A320 NEO,0
LEBL,FR,FR1164,13:15,Boeing 737-800,0
LEBL,VY,VY2223,13:20,Airbus A320,0
EGLL,VY,VY6022,12:30,Airbus A320 (sharklets),0
LEMD,IB,IB1072,13:25,Bombardier CRJX,0
LSGG,U2,U21302,16:40,Airbus A320,0
LPPR,FR,FR5466,16:40,Boeing 737-800,0
LFPG,AF,AF1547,17:15,Embraer 190,0
