arr_icao,airline,flight_no,std,type_raw,cargo
LFPG,AF,AF7441,06:00,Airbus A318,0
EHAM,KL,KL1440,06:30,Embraer 195,0
EGKK,U2,U28382,07:00,Airbus A320,0
LEMD,IB,IB1200,09:05,Bombardier CRJ1000,0
LIRF,W4,W46200,09:30,Airbus A320,0
LFPG,AF,AF7431,10:05,Airbus A320,0
LFLL,U2,U21817,11:35,Airbus A320,0
LFPG,AF,AF7433,11:50,Airbus A320,0
LGAV,A3,A3697,12:00,Airbus A320 NEO,0
LGKR,U2,U21889,13:20,Airbus A320,0
ENGM,DY,DY1453,13:45,Boeing 737,0
EHAM,KL,KL1444,13:55,Embraer 190,0
LEBL,VY,VY2913,13:55,Airbus A320,0
LFPG,AF,AF7435,14:35,Airbus A320,0
LSZH,LX,LX553,15:00,Airbus A220-300,0
LEMG,V7,V73843,15:15,Airbus A320,0
LSGG,U2,U21388,15:25,Airbus A320,0
LPPR,U2,U21875,16:00,Airbus A320,0
EGKK,U2,U28384,16:40,Airbus A319,0
EHAM,KL,KL1446,17:10,Boeing 737-700,0
EGPH,U2,U21925,17:40,Airbus A320,0
LEMD,IB,IB1204,17:55,Bombardier CRJ1000,0
