arr_icao,airline,flight_no,std,type_raw,cargo
LFPG,AF,AF7371,06:00,Airbus A321,0
LGAV,U2,U24453,06:00,Airbus A319,0
EHAM,KL,KL1426,06:30,Boeing 737,0
LSGG,3V,3V4VA,06:29,,0
EDDF,LH,LH1083,06:35,Airbus A320,0
EGKK,U2,U28430,07:00,Airbus A320,0
EBBR,SN,SN3594,07:05,Airbus A220-300,0
EDDM,LH,LH2247,09:30,Airbus A320,0
EHAM,KL,KL1428,09:55,Embraer 175,0
LFPG,AF,AF7363,10:20,Airbus A321,0
EDDF,EN,EN8911,10:30,Embraer 190,0
LFPG,AF,AF7365,11:20,Airbus A320,0
EGLL,BA,BA357,11:25,Airbus A320 (Sharklets),0
LFBZ,AF,AF6274,11:45,Embraer 170,0
LGAV,V7,V72018,12:00,Airbus A320,0
LEMD,IB,IB1180,12:25,Regional-Jet,0
EDDM,LH,LH2249,13:00,Airbus A220-300,0
LFBD,U2,U21818,13:20,Airbus A320,0
LPPR,U2,U24429,13:00,Airbus A319,0
LIRF,U2,U24415,11:30,Airbus A320,0
EBBR,SN,SN3588,13:10,Airbus A220-300,0
LEBL,VY,VY1221,13:55,Airbus A320,0
EDDF,LH,LH1077,14:15,Airbus A320,0
LFPG,AF,AF7367,14:40,Airbus A321,0
ENGM,DY,DY1455,14:25,Boeing 737-800,0
EHAM,KL,KL1432,14:05,Embraer 190,0
LGIR,TO,TO3704,15:40,Boeing 737-800,0
LGIR,U2,U24349,17:00,Airbus A319,0
EGLL,BA,BA363,17:40,Airbus A320 NEO,0
