arr_icao,airline,flight_no,std,type_raw,cargo
LIRF,AZ,AZ317,06:10,Airbus A320 NEO,0
LFBD,DJ,DJ6316,06:35,Boeing 767-300,0
EDDM,VL,VL2239,06:25,Airbus A320 NEO,0
LGKR,U2,U24613,06:15,Airbus A321,0
LGIR,U2,U24611,06:10,Airbus A320,0
LIRF,AF,AF1204,06:50,Airbus A320,0
LGAV,AF,AF1232,06:50,Airbus A320,0
LSZH,LX,LX647,06:45,Airbus A220-300,0
EGKK,U2,U28402,07:10,Airbus A319,0
EPWA,LO,LO334,07:05,Boeing 737,0
LPPR,AF,AF1428,07:10,Airbus A220-300,0
EDDF,LH,LH1051,07:25,Airbus A320,0
EHAM,AF,AF1240,07:10,Airbus A220-300,0
EFHK,AY,AY1582,07:15,Embraer 190,0
LEBL,AF,AF1148,07:15,Airbus A321,0
EKCH,AF,AF1750,07:20,Airbus A220-300,0
EDDM,AF,AF1422,07:40,Airbus A220-300,0
LFBD,AF,AF7430,08:00,Airbus A320,0
EGLL,BA,BA315,08:10,Airbus A320 NEO,0
EDDF,DE,DE4292,08:25,Airbus A320,0
LFLL,AF,AF7362,08:20,Airbus A321,0
EBBR,SN,SN3632,08:30,Airbus A320,0
EHAM,AF,AF1340,08:10,Airbus A320,0
EGLL,AF,AF1680,07:30,Airbus A220-300,0
LSGG,AF,AF1642,08:25,Airbus A220-300,0
LIMC,AF,AF1330,08:50,Airbus A320,0
LFRB,AF,AF7520,08:25,Airbus A220-300,0
EHAM,KL,KL1402,08:55,Boeing 737,0
EDDM,VL,VL2227,09:00,Airbus A319,0
LGIR,AF,AF1446,08:50,Airbus A319,0
KSFO,UA,UA984,09:15,Boeing 777-200,0
LSZH,AF,AF1114,08:40,Airbus A220-300,0
EGKK,AF,AF1704,09:15,Airbus A220-300,0
LFLL,AF,AF7364,09:15,Airbus A320,0
OTHH,QR,QR42,09:15,Airbus A380-800,0
LEMG,AF,AF1746,09:15,Embraer 190,0
ESSA,AF,AF1262,09:10,Airbus A220-300,0
LEBL,AF,AF1348,09:20,Airbus A321,0
EGBB,AF,AF1164,09:10,Embraer 190,0
EPWA,AF,AF1146,09:15,Airbus A220-300,0
LIMC,U2,U23808,09:40,Airbus A320,0
LGAV,AF,AF1532,09:20,Airbus A321,0
EKCH,AF,AF1150,09:25,Airbus A220-300,0
EBBR,SN,SN3630,08:55,Airbus A320,0
EHAM,KL,KL1404,09:40,Boeing 737-900,0
LIRF,AF,AF1104,09:15,Airbus A320,0
LEMD,AF,AF1300,09:15,Airbus A318,0
LFBD,AF,AF7432,09:40,Airbus A220-300,0
EKCH,SK,SK564,09:50,Embraer 195,0
LSZH,LX,LX633,09:45,Airbus A220-300,0
EGPH,AF,AF1686,09:45,Airbus A220-300,0
LFBZ,AF,AF7480,09:30,Airbus A318,0
EBBR,WB,WB700,10:30,Airbus A330-200,0
EHAM,KL,KL1406,10:15,Boeing 737-700,0
EBBR,SN,SN3634,09:55,Airbus A320 NEO,0
ENGM,AF,AF1174,09:30,Airbus A220-300,0
ENGM,DY,DY1495,10:20,Boeing 737-800,0
EDDF,LH,LH1029,10:20,Airbus A320,0
LEBL,VY,VY8243,10:10,Airbus A321,0
EGPH,U2,U23242,10:30,Airbus A320,0
ESSA,SK,SK574,10:30,Airbus A320 (Sharklets),0
EGLL,BA,BA301,10:40,Airbus A320 NEO,0
EGLL,AF,AF1580,09:55,Airbus A220-300,0
KSFO,AF,AF84,10:20,Boeing 777-300ER,0
LGIR,A3,A3453,10:40,Airbus A320,0
EPWA,LO,LO332,10:45,Boeing 737 MAX 8,0
EKCH,DY,DY3637,10:50,Boeing 737-800,0
EFHK,AY,AY1572,10:45,Airbus A321 (Sharklets),0
EDDF,DE,DE4264,11:10,Airbus A321,0
EKCH,SK,SK566,11:15,Airbus A321 (Sharklets),0
LGAV,A3,A3611,11:05,Airbus A321 NEO,0
EDDF,LH,LH1031,11:40,Airbus A320,0
LIRF,AZ,AZ319,11:40,Airbus A320 NEO,0
EGKK,ZT,ZT52,11:50,Airbus A320,0
EGLL,BA,BA303,11:45,Airbus A319,0
EHAM,AF,AF1640,11:45,Airbus A220-300,0
EDDM,LH,LH2229,12:00,Airbus A320 (Sharklets),0
ENGM,SK,SK834,12:20,Airbus A320 NEO,0
LIRF,AF,AF1504,12:15,Airbus A220-300,0
LFBD,AF,AF7434,12:30,Airbus A320,0
LFLL,AF,AF7366,12:35,Airbus A321,0
LEMD,IB,IB586,12:45,Airbus A320,0
EFHK,AF,AF1070,12:35,Airbus A220-300,0
LFBZ,AF,AF7482,12:50,Embraer 170,0
LFRB,AF,AF7522,12:50,Embraer 190,0
LSGG,AF,AF1442,12:40,Airbus A220-300,0
LEBL,AF,AF1648,13:00,Airbus A320,0
EPWA,AF,AF1346,13:10,Airbus A220-300,0
EDDF,AF,AF1218,13:00,Embraer 170,0
EDDM,AF,AF1622,12:55,Airbus A220-300,0
EGBB,AF,AF1314,13:20,Embraer 190,0
LGIR,AF,AF1002,13:25,Airbus A320,0
EGLL,AF,AF1780,13:15,Airbus A220-300,0
EGPH,U2,U24681,13:05,Airbus A319,0
LEMG,AF,AF1758,13:35,Airbus A320,0
LEMD,AF,AF1600,13:20,Embraer 190,0
EKCH,SK,SK568,14:00,Airbus A320 NEO,0
LEZL,AF,AF1546,13:55,Embraer 190,0
LPPR,AF,AF1528,14:00,Airbus A320,0
LEMD,IB,IB574,14:20,Airbus A320 NEO,0
LGAV,A3,A3617,14:05,Airbus A320,0
LIRF,AF,AF1304,14:25,Airbus A318,0
EDDM,VL,VL2231,14:15,Airbus A319,0
LIRF,AZ,AZ333,14:05,Airbus A220-300,0
LGAV,GQ,GQ901,14:15,Airbus A321,0
LGAV,AF,AF1832,13:20,Airbus A220-300,0
LEMD,AF,AF1800,14:35,Airbus A220-300,0
LGAV,AF,AF1432,14:40,Airbus A320,0
EHAM,KL,KL1408,14:30,Boeing 737-800,0
ESSA,AF,AF1062,14:50,Airbus A220-300,0
EFHK,AY,AY1576,15:05,Embraer 190,0
EDDF,LH,LH1035,14:35,Airbus A319,0
EKCH,AF,AF1850,15:05,Airbus A220-300,0
LGAV,AF,AF1332,15:40,Airbus A320,0
LEBL,AF,AF1548,15:20,Embraer 190,0
LSZH,LX,LX639,15:00,Airbus A220-300,0
EGKK,AF,AF1706,15:45,Airbus A220-300,0
EGPH,AF,AF1486,15:35,Airbus A220-300,0
EDDM,AF,AF1822,15:45,Embraer 190,0
KSFO,AF,AF82,15:40,Airbus A350-900,0
LIRF,AF,AF1378,16:00,Embraer 190,0
LIMC,AF,AF1730,16:00,Airbus A220-300,0
LIRF,AF,AF1604,15:20,Airbus A318,0
LSGG,AF,AF1342,16:05,Airbus A220-300,0
LEBL,VY,VY8249,16:10,Airbus A320,0
LEMG,AF,AF1728,16:00,Embraer 190,0
EGLL,AF,AF1280,16:05,Airbus A220-300,0
EDDF,DE,DE4214,16:45,Airbus A320,0
OTHH,QR,QR40,16:25,Airbus A380-800,0
EHAM,AF,AF1140,16:10,Airbus A220-300,0
LGKR,5O,5O747,16:30,Boeing 737-800,0
LFLL,AF,AF7368,16:30,Airbus A321,0
LFRB,AF,AF7524,16:55,Embraer 190,0
LFBZ,AF,AF7484,16:55,Embraer 190,0
LEMD,AF,AF1100,17:00,Airbus A220-300,0
LFBD,AF,AF7436,16:50,Airbus A320,0
