arr_icao,airline,flight_no,std,type_raw,cargo
EHAM,KL,KL1952,06:00,Airbus A321 NEO,0
LIRF,AZ,AZ717,06:05,Airbus A320 NEO,0
EDDM,LH,LH1757,06:00,Airbus A320,0
LFPG,AF,AF1033,06:35,Airbus A320 (Sharklets),0
LGIR,A3,A3300,06:35,Airbus A320,0
EDDF,LH,LH1285,06:35,Airbus A320,0
LGKR,A3,A3282,06:35,Airbus A320,0
LGKR,GQ,GQ270,06:35,ATR 42/72 Freighter,1
LEMD,IB,IB840,06:55,Airbus A320,0
LSZH,LX,LX1843,06:55,Airbus A321,0
LGIR,GQ,GQ210,07:10,Airbus A321,0
EGLL,BA,BA639,07:25,Airbus A320 (Sharklets),0
LIRF,A3,A3650,07:35,Airbus A320,0
LIMC,A3,A3660,07:40,Airbus A320,0
LFPG,A3,A3610,07:40,Airbus A321 NEO,0
LGIR,A3,A3304,07:40,Airbus A320,0
EBBR,A3,A3620,07:55,Airbus A321 NEO,0
EKCH,A3,A3750,07:45,Airbus A320,0
EDDF,A3,A3830,08:10,Airbus A320 NEO,0
LSZH,A3,A3850,08:30,Airbus A320,0
EDDM,A3,A3802,08:35,Airbus A320,0
LIMC,GQ,GQ830,08:45,Airbus A320 NEO,0
LFBD,A3,A3696,08:45,Airbus A320 NEO,0
EHAM,A3,A3624,08:40,Airbus A320,0
LSGG,A3,A3854,08:40,Airbus A321 NEO,0
LEBL,A3,A3710,09:05,Airbus A321 NEO,0
EGLL,A3,A3600,09:15,Airbus A321 NEO,0
LEMD,A3,A3700,09:10,Airbus A321 NEO,0
LEBL,VY,VY964,09:15,Airbus A321,0
LIRF,FR,FR1199,10:00,Boeing 737-800,0
ESSA,A3,A3760,10:10,Airbus A320 NEO,0
LGIR,A3,A3306,10:00,Airbus A321 NEO,0
EDDM,GQ,GQ870,10:20,Airbus A320 NEO,0
LEMD,GQ,GQ920,10:30,Airbus A320 NEO,0
EHAM,GQ,GQ790,10:30,Airbus A320 NEO,0
LFLL,U2,U24454,10:30,Airbus A319,0
EPWA,GQ,GQ770,10:30,Airbus A320 NEO,0
LFPG,GQ,GQ900,10:40,Airbus A321,0
EGKK,GQ,GQ700,10:35,Airbus A321,0
EBBR,GQ,GQ800,10:45,Airbus A320 NEO,0
LFPG,A3,A3616,10:40,Airbus A321 NEO,0
LIRF,GQ,GQ820,10:55,Airbus A320 NEO,0
LIMC,U2,U23652,11:00,Airbus A320,0
LSGG,U2,U21472,11:00,Airbus A320,0
LEBL,VY,VY8101,11:20,Airbus A321,0
ENGM,SK,SK4638,11:40,Airbus A321 (Sharklets),0
LGIR,A3,A3308,11:20,Airbus A320 NEO,0
ESSA,SK,SK1834,11:35,Airbus A320 NEO,0
LFPG,AF,AF1233,12:05,Airbus A320,0
LIRF,AZ,AZ719,12:00,Airbus A320,0
OTHH,QR,QR212,12:05,Airbus A320,0
EGKK,U2,U28184,12:10,Airbus A321 (Sharklets),0
EDDF,GQ,GQ860,12:15,Airbus A320 NEO,0
EDDM,LH,LH1751,12:45,Airbus A321 (Sharklets),0
LGKR,A3,A3284,13:00,Airbus A320,0
LIRF,AZ,AZ715,13:20,Airbus A220-300,0
EGLL,A3,A3602,13:30,Airbus A320,0
LGIR,A3,A3314,13:25,Airbus A320,0
EHAM,KL,KL1954,13:35,Boeing 737,0
EKCH,SK,SK778,14:00,Airbus A320 NEO,0
EGBB,LS,LS1214,13:50,Boeing 737-800,0
EGLL,BA,BA627,14:00,Airbus A321 NEO,0
EDDF,LH,LH1281,14:15,Airbus A321,0
EPWA,LO,LO602,14:00,Boeing 737 MAX 8,0
EGSS,LS,LS1408,14:20,Boeing 737-800,0
LSZH,LX,LX1831,14:05,Airbus A320 NEO,0
LFPG,AF,AF1533,14:40,Airbus A321,0
LGIR,GQ,GQ212,14:45,Airbus A320 NEO,0
OTHH,QR,QR204,13:55,Airbus A350-900,0
LIMC,FR,FR8896,15:35,Boeing 737-800,0
EDDM,LH,LH1753,15:45,Airbus A320,0
EGLL,A3,A3604,16:00,Airbus A320 NEO,0
EDDM,A3,A3806,15:55,Airbus A320,0
EPWA,A3,A3872,15:55,Airbus A321,0
LEMD,IB,IB834,16:00,Airbus A320,0
EGLL,BA,BA629,15:15,Airbus A320,0
LSGG,LX,LX1821,16:05,Airbus A220-300,0
EGLL,BA,BA635,16:20,Embraer 190,0
EDDF,A3,A3832,15:55,Airbus A320 NEO,0
LIRF,A3,A3654,16:30,Airbus A321 NEO,0
LSZH,A3,A3852,16:15,Airbus A320 NEO,0
LGIR,A3,A3318,16:45,Airbus A321 NEO,0
LFLL,V7,V72019,16:25,Airbus A320,0
EBBR,A3,A3622,16:40,Airbus A320,0
LIMC,A3,A3664,16:45,Airbus A321 NEO,0
LSZH,LX,LX1839,16:35,Airbus A320 NEO,0
EHAM,KL,KL1956,17:25,Airbus A320,0
LGIR,GQ,GQ214,17:25,Airbus A320 NEO,0
