arr_icao,airline,flight_no,std,type_raw,cargo
LGAV,A3,A3301,06:00,Airbus A320,0
LFPG,A3,A3452,07:05,Airbus A320,0
LGAV,A3,A3303,08:10,Airbus A320,0
LGAV,GQ,GQ211,08:40,Airbus A320,0
LGAV,A3,A3305,09:20,Airbus A320,0
LEBL,VY,VY3351,09:25,Airbus A320,0
EDDF,4Y,4Y1205,09:40,Airbus A320,0
EDDF,X3,X34203,10:10,Boeing 737 MAX 8,0
EDDM,DE,DE1601,10:25,Airbus A320,0
EDDK,EW,EW677,10:25,Airbus A320,0
EDDM,X3,X34283,10:30,Boeing 737-800,0
LGAV,GQ,GQ219,10:40,Airbus A320 NEO,0
LSZH,DE,DE1235,10:45,Airbus A320 NEO,0
LSZH,WK,WK349,10:55,Airbus A320,0
EBBR,XR,XR5202,11:10,Boeing 737,0
EDDF,DE,DE1663,11:15,Airbus A320 NEO,0
EBBR,SN,SN3256,11:20,Airbus A320 NEO,0
LFPG,U2,U24612,11:25,Airbus A320,0
EBBR,TB,TB2252,11:35,Boeing 737,0
LGAV,A3,A3307,11:35,Airbus A321 NEO,0
EHAM,HV,HV6872,12:00,Airbus A321 NEO,0
LGAV,GQ,GQ213,12:15,Airbus A320 NEO,0
EGBB,LS,LS1188,12:25,Boeing 737-800,0
LSGG,LX,LX2351,12:35,Airbus A220-300,0
LGAV,A3,A3309,13:00,Airbus A320 NEO,0
EGKK,U2,U28216,13:55,Airbus A320,0
LFPG,AF,AF1447,14:20,Airbus A320,0
EDDM,A3,A3432,14:20,Airbus A320,0
LGAV,A3,A3315,15:00,Airbus A321 NEO,0
EGKK,BA,BA2753,15:05,Airbus A321,0
EDDF,A3,A3430,15:45,Airbus A320,0
LIRF,W4,W46088,16:05,Airbus A320,0
EDDP,Norwegian Air UK,DI6653,16:15,Airbus A320 NEO,0
EGLL,BA,BA695,17:05,Airbus A320 NEO,0
LIRF,AZ,AZ737,17:05,Airbus A320 NEO,0
EDDK,XR,XR414,17:40,Boeing 737-800,0
