arr_icao,airline,flight_no,std,type_raw,cargo
LGAV,A3,A3283,08:15,Airbus A320,0
LGAV,GQ,GQ271,08:20,ATR 42/72 Freighter,1
EDDK,EW,EW615,08:45,Airbus A320,0
LIRF,FR,FR1109,09:00,Boeing 737-800,0
LIRF,W4,W46092,09:20,Airbus A320,0
LIMC,W4,W46432,09:35,Airbus A320,0
EDDM,DE,DE1597,09:55,Airbus A320,0
EDDM,4Y,4Y1283,10:05,Airbus A320,0
EDDF,DE,DE1581,10:30,Airbus A320,0
EDDS,EW,EW2619,10:30,Airbus A320 NEO,0
LFPG,U2,U24614,10:50,Airbus A321,0
EDDF,4Y,4Y1211,11:35,Airbus A320,0
EGKK,U2,U28208,11:55,Airbus A321,0
EGBB,BY,BY7489,12:10,,0
EHAM,OR,OR1116,12:35,Airbus A320,0
LEMD,IB,IB844,13:25,Airbus A320,0
EGKK,BA,BA2755,13:25,Airbus A321,0
LGAV,A3,A3285,14:40,Airbus A320,0
EGKK,U2,U28210,14:35,Airbus A320,0
EGLL,BA,BA643,15:00,Airbus A320,0
EGKK,BY,BY5447,15:15,Boeing 737-800,0
LIMC,U2,U23658,15:30,Airbus A320,0
EPWA,W6,W61544,16:05,Airbus A320,0
LSZH,WK,WK333,15:55,Airbus A320,0
EBBR,SN,SN3260,16:35,Airbus A320 NEO,0
LSGG,U2,U21476,17:00,Airbus A320,0
ESSA,FR,FR7690,17:15,Boeing 737,0
