arr_icao,airline,flight_no,std,type_raw,cargo
LSZH,LX,LX1639,05:50,Embraer 195,0
LGKR,W4,W46431,06:05,Airbus A321 NEO,0
EDDF,EN,EN8817,06:20,Embraer 190,0
EDDM,EN,EN8281,06:20,Embraer 195,0
LGAV,U2,U23651,06:40,Airbus A320,0
LEMD,W4,W46311,06:40,Airbus A321 NEO,0
LEMG,U2,U23743,06:45,Airbus A320,0
LFPG,AF,AF1131,06:45,Airbus A320,0
EDDF,DE,DE4356,06:55,Embraer 190,0
EPWA,W4,W46387,07:00,Airbus A321,0
LSZH,ET,ET736,07:05,Airbus A350,0
LFPG,U2,U23807,07:20,Airbus A320,0
EGKK,U2,U28302,07:30,Airbus A320,0
EBBR,SN,SN3154,08:35,Airbus A220-300,0
LEMD,FR,FR2752,09:00,Boeing 737-800,0
LIRF,AP,AP3551,09:00,Boeing 737-800,0
EGLL,BA,BA591,08:55,Airbus A319,0
LEMG,FR,FR4948,09:10,Boeing 737-800,0
OTHH,QR,QR124,09:40,Airbus A350-900,0
LEBL,VY,VY6331,10:00,Airbus A321 NEO,0
EFHK,AY,AY1752,10:20,Airbus A321,0
EPWA,LO,LO318,10:30,Embraer 175,0
LGAV,A3,A3661,10:15,Airbus A321 NEO,0
LSZH,LX,LX1613,10:40,Airbus A220-100,0
LEBL,W4,W46315,10:45,Airbus A321 NEO,0
ENGM,SK,SK4718,10:35,Airbus A320 NEO,0
EBLG,5H,5H425,10:50,Boeing 737-800,1
EBLG,ABR,ABR425,11:10,Boeing 737-800,0
LEMD,IB,IB672,10:25,Airbus A320 (Sharklets),0
LEMD,UX,UX1066,11:05,Boeing 737-800,0
EDDF,LH,LH249,11:20,Airbus A320 (Sharklets),0
LGAV,GQ,GQ831,11:20,Airbus A320 NEO,0
LFPG,AF,AF1331,11:25,Airbus A320,0
LGKR,U2,U23657,11:40,Airbus A320,0
EKCH,SK,SK1686,11:25,Airbus A320 NEO,0
EDDF,DE,DE4358,12:00,Airbus A320,0
LIRF,NO,NO430,12:00,Boeing 787-9,0
EDDM,EN,EN8275,12:55,Embraer 195,0
LEMG,W4,W46307,13:05,Airbus A321,0
EGPH,U2,U23833,13:30,Airbus A320,0
EGKK,U2,U28150,13:55,Airbus A320,0
ENGM,DY,DY1877,14:00,Boeing 737 MAX 8,0
EGSS,FR,FR2756,12:40,Boeing 737 MAX 8,0
EDDF,EN,EN8811,14:40,Embraer 190,0
EGLL,BA,BA585,14:20,Airbus A320,0
LEMD,IB,IB674,14:25,Airbus A321,0
LSZH,LX,LX1629,14:55,Embraer 195,0
LEMD,FR,FR7913,15:05,Boeing 737-800,0
EKCH,SK,SK1684,15:55,Airbus A320 NEO,0
EGLL,RJ,RJ111,15:50,Boeing 787-9,0
LEMD,UX,UX1060,15:45,Boeing 737-800,0
LEBL,VY,VY6341,15:30,Airbus A320,0
EGKK,U2,U28306,16:45,Airbus A319,0
EDDF,DE,DE4354,16:50,Embraer 190,0
LFPG,FX,FX5233,17:00,Boeing 767,1
LGIR,FR,FR4381,17:05,Boeing 737-800,0
LEBL,VY,VY6333,16:45,Airbus A321,0
EDDM,LH,LH1857,17:20,Airbus A319,0
