arr_icao,airline,flight_no,std,type_raw,cargo
LEMD,W4,W46011,06:00,Airbus A320,0
LGKR,W4,W46091,06:05,Airbus A321 NEO,0
LFPG,AF,AF1005,06:05,Airbus A320,0
LSZH,U2,U22986,06:15,Airbus A319,0
LPPR,W4,W46047,06:20,Airbus A320,0
EHAM,KL,KL1600,06:30,Airbus A320,0
LFBD,W4,W46199,06:40,Airbus A320,0
EBBR,U2,U22980,06:40,Airbus A319,0
EGLL,BA,BA565,06:50,Airbus A320,0
EDDF,LH,LH243,07:10,Airbus A321,0
EGLL,BA,BA563,07:20,Airbus A320 NEO,0
EDDM,U2,U22996,07:30,Airbus A319,0
LEMD,IB,IB658,07:35,Airbus A321,0
EGLL,AZ,AZ202,07:50,Airbus A320 NEO,0
EDDM,LH,LH1873,08:00,Airbus A320,0
LEMD,AZ,AZ58,08:10,Airbus A220-300,0
EDDF,DE,DE4418,08:10,Airbus A321,0
LGAV,AZ,AZ720,08:15,Airbus A220-300,0
LSZH,AZ,AZ572,08:30,Airbus A220-100,0
EDDM,AZ,AZ432,08:35,Airbus A220-100,0
EBBR,AZ,AZ156,08:35,Airbus A220-100,0
LEBL,FR,FR3181,08:35,Boeing 737-800,0
LFPG,AZ,AZ316,08:35,Airbus A320,0
EHAM,AZ,AZ108,08:30,Airbus A320,0
EDDF,AZ,AZ400,08:45,Airbus A220-100,0
LEBL,AZ,AZ74,09:00,Airbus A320,0
LSGG,AZ,AZ576,09:05,Airbus A320 NEO,0
LEBL,VY,VY6101,09:05,Airbus A320,0
EPWA,W6,W61442,09:05,Airbus A320,0
KSFO,AZ,AZ640,09:10,Airbus A330-900,0
LEMG,AZ,AZ90,09:20,Airbus A220-300,0
LEMD,FR,FR2437,09:25,Boeing 737-800,0
LGAV,AZ,AZ716,09:30,Airbus A320 NEO,0
OTHH,QR,QR116,09:40,Airbus A350-900,0
LEMG,FR,FR6299,09:55,Boeing 737-800,0
LFPG,AF,AF1205,10:00,Embraer 190,0
EBBR,SN,SN3176,10:10,Airbus A320 NEO,0
LSZH,LX,LX1727,09:35,Airbus A220-300,0
EDDF,LH,LH231,10:00,Airbus A321,0
EKCH,DY,DY3731,10:25,Boeing 737,0
EFHK,AY,AY1762,10:30,Airbus A321,0
LEMD,UX,UX1040,10:30,Boeing 737-800,0
EHAM,KL,KL1602,10:35,Airbus A320,0
EPWA,LO,LO302,10:45,Embraer 195,0
EGKK,U2,U28324,10:45,Airbus A319,0
EDDM,LH,LH1867,10:50,Airbus A321,0
ESSA,DY,DY4356,10:50,Boeing 737,0
ENGM,DY,DY1871,10:55,Boeing 737-800,0
EDDF,DE,DE4438,10:45,Airbus A320,0
EGBB,U2,U26682,11:05,Airbus A320,0
LEBL,W4,W46017,07:25,Airbus A320,0
EGLL,BA,BA547,11:10,Airbus A320 NEO,0
LFPG,AZ,AZ318,11:00,Airbus A320,0
LGAV,FR,FR1198,11:45,Boeing 737-800,0
LPPR,FR,FR6007,11:45,Boeing 737-800,0
EKCH,SK,SK682,11:55,Airbus A320 NEO,0
EGSS,LS,LS1544,11:55,Boeing 737-800,0
LEMD,IB,IB648,12:00,Airbus A320,0
EGLL,BA,BA549,12:15,Airbus A320,0
LEMD,FR,FR9673,12:20,Boeing 737-800,0
EGBB,LS,LS1228,12:25,Airbus A320,0
LGIR,W4,W46087,12:00,Airbus A320,0
LFPG,AF,AF1105,12:30,Airbus A320,0
LEMG,W4,W46025,11:40,Airbus A320,0
EHAM,KL,KL1604,12:45,Airbus A320,0
EDDF,U2,U22992,13:00,Airbus A319,0
LGIR,AZ,AZ736,13:00,Airbus A319,0
LGAV,GQ,GQ821,13:00,Airbus A320 NEO,0
EGKK,U2,U28326,13:20,Airbus A319,0
EDDM,VL,VL1875,12:50,Airbus A320 NEO,0
EDDF,LH,LH233,13:20,Airbus A320,0
LEBL,FR,FR8573,13:25,Boeing 737-800,0
LEZL,FR,FR8445,13:25,Boeing 737-800,0
EGLL,AZ,AZ204,13:50,Airbus A320 NEO,0
LEMD,AZ,AZ60,14:35,Airbus A320,0
EHAM,AZ,AZ110,14:35,Airbus A220-300,0
LEMD,IB,IB650,14:45,Airbus A321,0
EDDF,LH,LH235,14:55,Airbus A320,0
EDDM,U2,U22998,15:05,Airbus A319,0
LFPG,AZ,AZ324,15:10,Airbus A320 NEO,0
LFPG,AF,AF1505,15:30,Airbus A321,0
LGKR,AZ,AZ744,14:50,Airbus A220-300,0
LGAV,AZ,AZ718,15:35,Airbus A320 NEO,0
EDDF,AZ,AZ404,15:35,Airbus A220-100,0
KSFO,UA,UA506,15:40,Boeing 777,0
EBBR,AZ,AZ160,15:45,Airbus A320 NEO,0
LFLL,U2,U24416,13:40,Airbus A320,0
EDDM,LH,LH1869,15:55,Airbus A321,0
LGKR,W4,W46077,15:35,Airbus A320,0
OTHH,QR,QR132,16:10,Airbus A350-900,0
LEMD,IB,IB652,16:15,Airbus A321,0
LEMG,FR,FR6105,16:20,Boeing 737-800,0
LFLL,U2,U249VM,16:27,Airbus A320,0
LEBL,VY,VY6109,16:30,Airbus A320,0
LEBL,FR,FR6342,16:10,Boeing 737-800,0
LEMD,UX,UX1042,16:35,Boeing 737-800,0
LSZH,AZ,AZ574,16:40,Airbus A220-100,0
EDDM,AZ,AZ436,16:40,Airbus A220-300,0
LSGG,AZ,AZ578,16:45,Airbus A220-300,0
LSZH,LX,LX1737,15:05,Embraer 190,0
EGLL,BA,BA553,16:35,Airbus A319,0
LEMD,W4,W46013,17:10,Airbus A320,0
EDDF,DE,DE4186,16:50,Airbus A321,0
EHAM,KL,KL1606,17:25,Airbus A320,0
LFPG,AF,AF1305,17:40,Airbus A220-300,0
EGLL,BA,BA557,17:50,Airbus A319,0
LEBL,VY,VY6105,17:55,Airbus A320,0
