arr_icao,airline,flight_no,std,type_raw,cargo
EDDF,LH,LH1181,06:00,Airbus A320,0
LFPG,AF,AF1517,05:55,Airbus A320,0
EDDM,LH,LH1789,06:20,Airbus A321 NEO,0
LEMG,FR,FR7634,06:45,Boeing 737-800,0
LSGG,U2,U26819,06:30,Airbus A320,0
LEMD,FR,FR573,07:00,Boeing 737-800,0
EGKK,U2,U28526,06:40,Airbus A320,0
LEBL,FR,FR4546,07:15,Boeing 737-800,0
LEMD,UX,UX1144,07:35,Boeing 737,0
LSGG,U2,U21452,08:05,Airbus A320,0
LEMD,IB,IB1148,08:20,Bombardier CRJ1000,0
EDDS,EW,EW2713,08:45,Airbus A320,0
LSZH,LX,LX2061,08:40,Airbus A320 NEO,0
LEBL,VY,VY8477,08:35,Airbus A320,0
EGKK,TP,TP1328,09:00,Airbus A320,0
LIRF,W4,W46048,08:50,Airbus A321 NEO,0
LFPG,AF,AF1429,09:25,Airbus A220-300,0
LSGG,U2,U21454,09:35,Airbus A320,0
EBBR,FR,FR2929,09:40,Boeing 737 MAX 8,0
EGKK,BA,BA2667,09:55,Airbus A320,0
EGKK,A0,A05SL,10:14,Airbus A320,0
EKCH,DY,DY3613,10:10,Boeing 737 MAX 8,0
EHAM,HV,HV6008,09:55,Airbus A320,0
EDDK,FR,FR9325,10:55,Boeing 737-800,0
EDDM,LH,LH1783,11:05,Airbus A320 NEO,0
LSZH,U2,U26827,11:20,Airbus A320 NEO,0
EHAM,KL,KL1572,11:25,Boeing 737-800,0
LEMD,UX,UX1146,11:35,Boeing 737,0
LSZH,TP,TP920,11:30,Airbus A320,0
EGSS,FR,FR1262,11:30,Boeing 737-800,0
LEBL,FR,FR4584,12:00,Boeing 737-800,0
LEMD,IB,IB1150,12:20,Bombardier CRJ1000,0
LSZH,LX,LX2067,12:15,Airbus A321,0
EKCH,SK,SK2774,12:20,Airbus A320 NEO,0
EDDF,LH,LH1177,12:10,Airbus A320,0
LFBD,U2,U21876,12:50,Airbus A320,0
EBBR,SN,SN3812,12:55,Airbus A320,0
EPWA,LO,LO428,13:25,Boeing 737,0
EDDF,4Y,4Y2165,14:05,Airbus A320,0
LIRF,FR,FR6008,14:10,Boeing 737-800,0
LEZL,FR,FR5467,13:55,Boeing 737-800,0
LSGG,U2,U21456,14:35,Airbus A320,0
LSGG,LX,LX2079,14:35,Airbus A220-300,0
LIMC,FR,FR4017,14:45,Boeing 737,0
LEBL,VY,VY8483,13:50,Airbus A320,0
LFLL,U2,U24430,14:55,Airbus A319,0
EGBB,LS,LS1372,15:40,Boeing 737-800,0
LSGG,TP,TP938,15:25,Airbus A320,0
EPWA,FR,FR7766,15:00,Boeing 737,0
LEMD,UX,UX1140,16:05,Boeing 737 MAX 8,0
LFPG,AF,AF1529,16:25,Airbus A320,0
EHAM,KL,KL1574,16:20,Boeing 737-900,0
LEMD,IB,IB1152,16:40,Bombardier CRJ1000,0
EDDF,LH,LH1179,16:35,Airbus A321,0
LEBL,VY,VY8479,16:50,Airbus A320,0
EDDM,X3,X32863,17:15,Boeing 737-800,0
EGSS,FR,FR7699,17:05,Boeing 737-800,0
