arr_icao,airline,flight_no,std,type_raw,cargo
EDDF,LX,LX1080,06:10,Airbus A220-300,0
LPPR,U2,U21451,06:10,Airbus A320,0
LSZH,LX,LX2801,06:00,Airbus A220-300,0
LEMD,IB,IB622,06:10,Airbus A320,0
LGAV,U2,U21471,06:35,Airbus A320,0
EGLL,BA,BA757,07:00,Airbus A319,0
EGKK,U2,U28486,07:00,Airbus A320,0
EBBR,SN,SN2726,07:05,Airbus A319,0
LSZH,LX,LX2805,07:15,Airbus A320,0
EHAM,KL,KL1928,07:15,Embraer 190,0
LFPG,AF,AF1243,07:20,Airbus A220-300,0
EGLL,LX,LX352,07:30,Airbus A220-300,0
LFLL,ET,ET738,07:30,Airbus A350-900,0
LPPR,U2,U21453,07:35,Airbus A320,0
LFBZ,LX,LX2332,07:45,Airbus A220-300,0
LGIR,LX,LX2350,07:45,Airbus A220-300,0
EDDF,LH,LH1213,08:35,Airbus A320,0
EBBR,SN,SN2712,08:15,Airbus A319,0
EDDM,LH,LH2383,08:50,Airbus A319,0
LEMG,U2,U27024,09:05,Airbus A320,0
EHAM,KL,KL1930,09:05,Embraer 190,0
LEBL,VY,VY6201,09:30,Airbus A320,0
LEBL,U2,U27106,09:30,Airbus A320,0
LEMD,IB,IB1276,09:50,Regional-Jet,0
LSZH,LX,LX2807,10:00,Airbus A320 NEO,0
EGLL,BA,BA743,10:10,Airbus A320,0
EDDF,LX,LX1082,10:15,Airbus A220-300,0
LPPR,U2,U26820,10:20,Airbus A320,0
EPWA,LO,LO418,10:25,Embraer 195,0
LFPG,AF,AF1643,10:30,Airbus A220-300,0
LEMD,UX,UX1664,10:50,Boeing 737-800,0
EGKK,U2,U28494,10:50,Airbus A320,0
LSZH,LX,LX2809,11:00,Airbus A320 NEO,0
EKCH,SK,SK1610,11:05,Canadair CRJ 900NG,0
LEBL,VJH,VJH738,11:21,,0
LGAV,A3,A3855,11:35,Airbus A321 NEO,0
LGAV,LX,LX1820,11:30,Airbus A220-300,0
LIRF,AZ,AZ575,11:40,Airbus A220-100,0
EBBR,SN,SN2714,11:25,Airbus A319,0
EGLL,BA,BA745,11:30,Airbus A320 (Sharklets),0
EHAM,KL,KL1932,11:55,Boeing 737,0
LPPR,LX,LX2078,12:25,Airbus A220-300,0
LPPR,U2,U21455,12:35,Airbus A320,0
LEMD,IB,IB614,12:30,Airbus A321,0
EGLL,LX,LX354,12:55,Airbus A220-300,0
LGKR,U2,U21475,12:55,Airbus A320,0
LFBD,U2,U21387,13:35,Airbus A320,0
LEZL,U2,U21301,13:45,Airbus A320,0
LEMD,IB,IB1282,14:10,Regional-Jet,0
LEBL,U2,U27112,14:00,Airbus A320,0
EHAM,KL,KL1934,14:10,Embraer 175,0
EGPH,U2,U23292,14:35,Airbus A320,0
LSZH,LX,LX2813,14:30,Airbus A220-300,0
LFPG,AF,AF1443,14:40,Airbus A220-300,0
LEBL,VY,VY6203,15:15,Airbus A321,0
LGIR,U2,U21477,15:50,Airbus A320,0
LSZH,LX,LX2811,14:55,Airbus A320 NEO,0
EGLL,LX,LX348,15:50,Airbus A220-300,0
OTHH,QR,QR100,15:55,Airbus A350-900,0
EGLL,BA,BA747,16:00,Airbus A320,0
LEBL,U2,U27108,16:35,Airbus A319,0
EBBR,SN,SN2722,17:10,Airbus A319,0
LPPR,U2,U21457,17:25,Airbus A320,0
EHAM,KL,KL1936,17:15,Embraer 195,0
EGLL,BA,BA751,17:40,Airbus A320 (Sharklets),0
EGPH,U2,U21587,17:45,Airbus A320 NEO,0
EGLL,LX,LX356,17:50,Airbus A220-300,0
EKCH,U2,U21539,17:50,Airbus A320,0
