arr_icao,airline,flight_no,std,type_raw,cargo
LGIR,WK,WK348,06:20,Airbus A320 NEO,0
LPPR,LX,LX2060,06:20,Airbus A320 NEO,0
LEMD,LX,LX2020,06:55,Airbus A320 NEO,0
EHAM,KL,KL1916,07:00,Boeing 737,0
EDDF,LX,LX1068,06:55,Airbus A220-100,0
LEBL,LX,LX1952,07:10,Airbus A321,0
EGLL,BA,BA741,07:15,Airbus A320 (Sharklets),0
EDDM,LX,LX1100,07:15,Embraer 195,0
EKCH,LX,LX1266,07:10,Airbus A220-300,0
EBBR,LX,LX786,07:25,Airbus A320 NEO,0
EGLL,LX,LX316,07:05,Airbus A321 (Sharklets),0
EHAM,LX,LX724,07:20,Airbus A220-300,0
LFPG,LX,LX632,07:25,Airbus A220-300,0
LEMD,IB,IB634,07:30,Airbus A320,0
EGPH,WK,WK290,06:50,Airbus A220-300,0
EGKK,LX,LX430,07:35,Airbus A220-300,0
LIRF,LX,LX1726,07:20,Airbus A320,0
LFPG,AF,AF1415,07:40,Airbus A220-300,0
EDDF,DE,DE4312,08:00,Embraer 190,0
LIRF,U2,U22987,08:30,Airbus A319,0
LIMC,LX,LX1612,08:55,Airbus A220-100,0
EDDS,LX,LX1164,09:10,Embraer 195,0
EDDK,EW,EW763,08:05,Airbus A319,0
EHAM,KL,KL1918,09:20,Boeing 737,0
LGAV,LX,LX1830,09:25,Airbus A320 NEO,0
EDDF,LH,LH1185,09:25,Embraer 190,0
EDDM,LX,LX1102,09:30,Embraer 190,0
LSGG,LX,LX2804,09:15,Airbus A320 NEO,0
LEMG,LX,LX2110,09:35,Airbus A320 NEO,0
LPPR,LX,LX2066,09:45,Airbus A321,0
LEBL,VY,VY6247,09:45,Airbus A320 (Sharklets),0
EBBR,SN,SN2730,09:00,Airbus A320,0
ESSA,LX,LX1248,09:40,Airbus A220-300,0
LSGG,NJE,NJE943,10:25,Cessna 680A Citation Latitude,0
EKCH,SK,SK602,10:25,Airbus A321,0
LSGG,NJE,NJE120,10:25,Cessna 680A Citation Latitude,0
EPWA,LO,LO412,10:30,Embraer 195,0
EGLL,LX,LX318,10:30,Airbus A220-300,0
EFHK,AY,AY1512,10:40,Airbus A321,0
LIRF,AZ,AZ571,10:55,Airbus A220-100,0
LGAV,NJE,NJE182,11:10,Boeing 727-100 Freighter,1
LEMD,UX,UX1676,11:05,Boeing 737-800,0
LFPG,AF,AF1115,10:55,Airbus A220-300,0
LGAV,A3,A3851,11:15,Airbus A320,0
EDDF,LH,LH1187,11:20,Airbus A320 (Sharklets),0
EDDF,DE,DE4318,11:20,Airbus A321,0
ENGM,LX,LX1210,10:50,Embraer 195,0
EHAM,KL,KL1920,11:50,Boeing 737-800,0
EGLL,LX,LX332,12:05,Airbus A220-300,0
LGAV,LX,LX1838,12:05,Airbus A320 NEO,0
LGKR,WK,WK332,11:55,Airbus A320,0
LEMD,IB,IB628,11:50,Airbus A321,0
LSGG,LX,LX2824,11:50,Airbus A220-300,0
EHAM,LX,LX728,12:30,Airbus A220-300,0
EKCH,LX,LX1270,12:25,Airbus A320 NEO,0
EPWA,LX,LX1348,12:10,Embraer 190,0
ESSA,LX,LX1250,12:20,Airbus A321 NEO,0
LEBL,LX,LX1954,12:20,Airbus A321,0
EDDS,LX,LX1168,12:55,Airbus A220-300,0
LFBD,LX,LX552,12:40,Airbus A220-300,0
EBBR,LX,LX780,12:55,Embraer 190,0
LFPG,LX,LX638,12:40,Airbus A220-300,0
EGLL,BA,BA733,13:10,Airbus A320 NEO,0
EDDM,LX,LX1104,13:15,Embraer 190,0
LIMC,LX,LX1628,13:00,Embraer 195,0
LEMG,LX,LX2114,13:05,Airbus A320 NEO,0
EDDF,LH,LH1189,13:30,Airbus A320 (Sharklets),0
KSFO,UA,UA45,13:35,Boeing 777-200,0
ENGM,SK,SK842,13:40,Airbus A320 NEO,0
LSGG,LX,LX2806,12:55,Airbus A320 NEO,0
KSFO,LX,LX38,13:15,Boeing 777,0
LEBL,VJH,VJH763,14:10,Embraer 135,0
LIRF,LX,LX1736,12:45,Embraer 190,0
EHAM,KL,KL1922,14:20,Embraer 195,0
EDDF,LH,LH1191,14:35,Airbus A319,0
LEMD,IB,IB630,14:45,Airbus A320,0
EKCH,SK,SK604,14:55,Airbus A321 (Sharklets),0
LGIR,DE,DE1234,15:20,Airbus A320 NEO,0
LPPR,U2,U26828,15:30,Airbus A320 NEO,0
EGLL,LX,LX324,15:35,Airbus A220-300,0
EKCH,LX,LX1272,16:05,Airbus A220-300,0
ESSA,LX,LX1256,16:05,Airbus A220-100,0
OTHH,QR,QR96,16:10,Airbus A350,0
LPPR,TP,TP921,15:50,Airbus A320,0
EDDM,LX,LX1106,16:55,Embraer 195,0
LIRF,LX,LX1714,16:50,Airbus A220-300,0
EPWA,LX,LX1352,17:00,Airbus A220-300,0
LPPR,LX,LX2064,16:45,Airbus A321,0
EGKK,LX,LX432,17:10,Embraer 195,0
LSGG,LX,LX2808,17:05,Airbus A220-300,0
EGLL,LX,LX326,17:00,Airbus A321 NEO,0
EDDF,LX,LX1074,17:10,Airbus A220-300,0
EBBR,LX,LX788,17:15,Airbus A220-300,0
LFPG,LX,LX644,17:30,Airbus A320 NEO,0
EHAM,LX,LX734,17:35,Airbus A220-300,0
EHAM,KL,KL1924,17:35,Boeing 737-800,0
LIMC,LX,LX1622,17:40,Airbus A320 NEO,0
EKCH,LX,LX1276,17:20,Airbus A220-300,0
EDDF,DE,DE4310,16:45,Embraer 190,0
LIRF,LX,LX1732,17:50,Embraer 195,0
