arr_icao,airline,flight_no,std,type_raw,cargo
LGAV,QR,QR203,07:30,Boeing 787-8,0
KSFO,QR,QR737,07:40,Airbus A350-1000,0
LEMG,QR,QR155,07:50,Airbus A350-900,0
EGLL,QR,QR3,08:00,Airbus A380-800,0
LEMD,QR,QR149,08:05,Boeing 777-300ER,0
LSZH,QR,QR95,08:20,Airbus A350-900,0
EGPH,QR,QR29,08:15,Boeing 787-8,0
EHAM,QR,QR273,08:10,Boeing 777-300ER,0
LIMC,QR,QR127,08:25,Airbus A350-900,0
EPWA,QR,QR259,08:30,Boeing 787-8,0
LSGG,QR,QR99,08:20,Airbus A350-900,0
EKCH,QR,QR159,08:40,Boeing 787-8,0
LEBL,QR,QR145,08:35,Boeing 787-9,0
EDDF,QR,QR67,08:45,Boeing 787-9,0
EGLL,QR,QR7,08:55,Airbus A350-900,0
LFPG,QR,QR39,08:35,Airbus A380-800,0
ENGM,QR,QR175,08:40,Boeing 787-9,0
LIRF,QR,QR131,09:15,Airbus A350-1000,0
EDDM,QR,QR57,08:20,Boeing 787-9,0
EGLL,QR,QR1,12:40,Airbus A350-1000,0
LGAV,QR,QR207,13:50,Airbus A320,0
EHAM,QR,QR283,15:00,Airbus A350-900,0
LEMD,QR,QR151,15:05,Boeing 787-9,0
LEBL,QR,QR141,15:10,Boeing 787-9,0
LFPG,QR,QR37,15:20,Airbus A380,0
EGLL,QR,QR15,15:10,Airbus A350-900,0
LIRF,QR,QR113,15:55,Airbus A350-900,0
